"fluorophore","cytometer","channel"
"Qdot 585","id7000","355CH11-A"
"Qdot 605","id7000","405CH14-A"
"Qdot 625","id7000","405CH14-A"
"Qdot 655","id7000","405CH18-A"
"Qdot 705","id7000","405CH21-A"
"Qdot 800","id7000","405CH30-A"
"R718","id7000","637CH23-A"
"RB545","id7000","488CH8-A"
"RB613","id7000","488CH14-A"
"RB670","id7000","488CH19-A"
"RB705","id7000","488CH22-A"
"RB744","id7000","488CH26-A"
"RB780","id7000","488CH29-A"
"RFP","id7000","561CH11-A"
"RR688","id7000","637CH20-A"
"RY586","id7000","561CH11-A"
"RY610","id7000","561CH13-A"
"RY655","id7000","561CH18-A"
"RY703","id7000","561CH22-A"
"RY743","id7000","561CH25-A"
"RY775","id7000","561CH29-A"
"SBB580","id7000","488CH11-A"
"SBB615","id7000","488CH13-A"
"SBB675","id7000","488CH19-A"
"SBB700","id7000","488CH21-A"
"SBB765","id7000","488CH27-A"
"SBB810","id7000","488CH31-A"
"SBR670","id7000","637CH18-A"
"SBR715","id7000","637CH23-A"
"SBR775","id7000","637CH28-A"
"SBR815","id7000","637CH31-A"
"SBUV400","id7000","355CH2-A"
"SBUV445","id7000","355CH4-A"
"SBUV510","id7000","355CH6-A"
"SBUV540","id7000","355CH8-A"
"SBUV575","id7000","355CH11-A"
"SBUV605","id7000","355CH13-A"
"SBUV665","id7000","355CH19-A"
"SBUV700","id7000","355CH23-A"
"SBUV740","id7000","355CH25-A"
"SBUV770","id7000","355CH27-A"
"SBUV795","id7000","355CH29-A"
"SBV440","id7000","405CH3-A"
"SBV475","id7000","405CH4-A"
"SBV515","id7000","405CH5-A"
"SBV535","id7000","405CH5-A"
"SBV570","id7000","405CH11-A"
"SBV610","id7000","405CH13-A"
"SBV670","id7000","405CH18-A"
"SBV710","id7000","405CH23-A"
"SBV760","id7000","405CH27-A"
"SBV790","id7000","405CH29-A"
"SBY575","id7000","561CH11-A"
"SBY605","id7000","561CH13-A"
"SBY665","id7000","561CH19-A"
"SBY720","id7000","561CH23-A"
"SBY800","id7000","561CH29-A"
"Spark Blue 515","id7000","488CH5-A"
"Spark Blue 550","id7000","488CH7-A"
"Spark Blue 574","id7000","488CH11-A"
"Spark NIR 685","id7000","637CH20-A"
"Spark PLUS B550","id7000","488CH7-A"
"Spark PLUS Blue 574","id7000","488CH11-A"
"Spark PLUS UV 395","id7000","355CH2-A"
"Spark PLUS V475","id7000","405CH4-A"
"Spark Red 718","id7000","637CH23-A"
"Spark UV 387","id7000","355CH1-A"
"Spark UV 395","id7000","355CH2-A"
"Spark Violet 423","id7000","405CH1-A"
"Spark Violet 500","id7000","405CH4-A"
"Spark Violet 538","id7000","405CH7-A"
"Spark YG 570","id7000","561CH11-A"
"Spark YG 581","id7000","561CH11-A"
"Spark YG 593","id7000","561CH12-A"
"Super Bright 436","id7000","405CH1-A"
"Super Bright 600","id7000","405CH12-A"
"Super Bright 645","id7000","405CH16-A"
"Super Bright 702","id7000","405CH22-A"
"Super Bright 780","id7000","405CH29-A"
"SYTO 9","id7000","488CH6-A"
"SYTOX Blue","id7000","405CH2-A"
"SYTOX Green","id7000","488CH6-A"
"SYTOX Orange","id7000","561CH11-A"
"SYTOX Red","id7000","637CH18-A"
"tdTomato","id7000","561CH12-A"
"Texas Red","id7000","637CH18-A"
"TRITC","id7000","561CH12-A"
"Turquoise","id7000","488CH5-A"
"V450","id7000","405CH2-A"
"V500","id7000","405CH4-A"
"V547","id7000","405CH8-A"
"ViaKrome 808","id7000","637CH25-A"
"VioBright B515","id7000","488CH5-A"
"VioBright FITC","id7000","488CH6-A"
"VioBright V600","id7000","405CH13-A"
"YFP","id7000","488CH7-A"
"Zombie Aqua","id7000","405CH4-A"
"Zombie Green","id7000","488CH6-A"
"Zombie NIR","id7000","637CH26-A"
"Zombie Red","id7000","637CH18-A"
"Zombie UV","id7000","355CH3-A"
"Zombie Violet","id7000","405CH2-A"
"Zombie Yellow","id7000","561CH11-A"
"7-AAD","discover_s8","YG5 (655)-A"
"Alexa Fluor 350","discover_s8","UV4 (440)-A"
"Alexa Fluor 405","discover_s8","V1 (420)-A"
"Alexa Fluor 488","discover_s8","B2 (515)-A"
"Alexa Fluor 514","discover_s8","B4 (545)-A"
"Alexa Fluor 532","discover_s8","B4 (545)-A"
"Alexa Fluor 555","discover_s8","YG1 (575)-A"
"Alexa Fluor 568","discover_s8","YG3 (605)-A"
"Alexa Fluor 594","discover_s8","YG4 (625)-A"
"Alexa Fluor 610","discover_s8","YG4 (625)-A"
"Alexa Fluor 633","discover_s8","R1 (655)-A"
"Alexa Fluor 647","discover_s8","R2 (675)-A"
"Alexa Fluor 660","discover_s8","R3 (700)-A"
"Alexa Fluor 680","discover_s8","R3 (700)-A"
"Alexa Fluor 700","discover_s8","R4 (725)-A"
"Alexa Fluor 790","discover_s8","R7 (810)-A"
"AmCyan","discover_s8","V5 (500)-A"
"APC","discover_s8","R1 (655)-A"
"APC-Cy5.5","discover_s8","R3 (700)-A"
"APC-Cy7","discover_s8","R6 (780)-A"
"APC-eFluor 780","discover_s8","R6 (780)-A"
"APC-Fire 750","discover_s8","R6 (780)-A"
"APC-Fire 810","discover_s8","R7 (810)-A"
"APC-H7","discover_s8","R6 (780)-A"
"APC-R700","discover_s8","R4 (725)-A"
"APC-Vio750","discover_s8","R5 (750)-A"
"APC-Vio770","discover_s8","R6 (780)-A"
"BB515","discover_s8","B2 (515)-A"
"BB630","discover_s8","B8 (625)-A"
"BB660","discover_s8","B9 (655)-A"
"BB700","discover_s8","B11 (700)-A"
"BB755","discover_s8","B13 (750)-A"
"BB790","discover_s8","B14 (780)-A"
"BrDU FITC","discover_s8","B2 (515)-A"
"BUV395","discover_s8","UV3 (420)-A"
"BUV496","discover_s8","UV7 (500)-A"
"BUV563","discover_s8","UV11 (575)-A"
"BUV615","discover_s8","UV13 (605)-A"
"BUV661","discover_s8","UV15 (655)-A"
"BUV737","discover_s8","UV18 (725)-A"
"BUV805","discover_s8","UV21 (810)-A"
"BV421","discover_s8","V1 (420)-A"
"BV480","discover_s8","V4 (475)-A"
"BV510","discover_s8","V6 (515)-A"
"BV570","discover_s8","V9 (575)-A"
"BV570-T","discover_s8","V9 (575)-A"
"BV605","discover_s8","V11 (605)-A"
"BV650","discover_s8","V13 (655)-A"
"BV711","discover_s8","V15 (700)-A"
"BV750","discover_s8","V17 (750)-A"
"BV785","discover_s8","V18 (780)-A"
"BV786","discover_s8","V18 (780)-A"
"CellTrace Blue","discover_s8","UV7 (500)-A"
"CellTrace Calcein AM","discover_s8","B2 (515)-A"
"CellTrace Calcein Blue","discover_s8","UV4 (440)-A"
"CellTrace CFSE","discover_s8","B2 (515)-A"
"CellTrace Far Red","discover_s8","R2 (675)-A"
"CellTrace Oregon Green","discover_s8","B2 (515)-A"
"CellTrace Red","discover_s8","YG3 (605)-A"
"CellTrace Violet","discover_s8","V3 (460)-A"
"CellTrace Yellow","discover_s8","B4 (545)-A"
"CF350","discover_s8","UV5 (460)-A"
"CF405L","discover_s8","V8 (545)-A"
"CF405M","discover_s8","V3 (460)-A"
"CF405S","discover_s8","V2 (440)-A"
"CF430","discover_s8","V5 (500)-A"
"CF440","discover_s8","V6 (515)-A"
"CF450","discover_s8","B3 (530)-A"
"CF488A","discover_s8","B2 (515)-A"
"CF503R","discover_s8","B3 (530)-A"
"CF514","discover_s8","B4 (545)-A"
"CF532","discover_s8","B4 (545)-A"
"CF543","discover_s8","B5 (575)-A"
"CF550R","discover_s8","YG1 (575)-A"
"CF555","discover_s8","YG1 (575)-A"
"CF568","discover_s8","YG1 (575)-A"
"CF570","discover_s8","YG2 (590)-A"
"CF583","discover_s8","YG3 (605)-A"
"CF594","discover_s8","YG3 (605)-A"
"CF620R","discover_s8","R1 (655)-A"
"CF633","discover_s8","R1 (655)-A"
"CF640R","discover_s8","R1 (655)-A"
"CF647","discover_s8","R2 (675)-A"
"CF660C","discover_s8","R2 (675)-A"
"CF660R","discover_s8","R2 (675)-A"
"CF680","discover_s8","R3 (700)-A"
"CF680R","discover_s8","R3 (700)-A"
"CF700","discover_s8","R4 (725)-A"
"CF710","discover_s8","R4 (725)-A"
"CF725","discover_s8","R5 (750)-A"
"CF740","discover_s8","R5 (750)-A"
"CF750","discover_s8","R6 (780)-A"
"CF770","discover_s8","R7 (810)-A"
"CF790","discover_s8","R7 (810)-A"
"CF800","discover_s8","V19 (810)-A"
"cFluor B513","discover_s8","B2 (515)-A"
"cFluor B548","discover_s8","B4 (545)-A"
"cFluor B610","discover_s8","B7 (605)-A"
"cFluor B660","discover_s8","B9 (655)-A"
"cFluor B710","discover_s8","B11 (700)-A"
"cFluor B760","discover_s8","B13 (750)-A"
"cFluor R659","discover_s8","R1 (655)-A"
"cFluor R685","discover_s8","R3 (700)-A"
"cFluor R720","discover_s8","R4 (725)-A"
"cFluor R775","discover_s8","R6 (780)-A"
"cFluor R840","discover_s8","R7 (810)-A"
"cFluor UV450","discover_s8","UV4 (440)-A"
"cFluor UV610","discover_s8","UV13 (605)-A"
"cFluor V450","discover_s8","V2 (440)-A"
"cFluor V500","discover_s8","V5 (500)-A"
"cFluor V610","discover_s8","V11 (605)-A"
"cFluor V650","discover_s8","V13 (655)-A"
"cFluor V710","discover_s8","V15 (700)-A"
"cFluor V785","discover_s8","V18 (780)-A"
"cFluor YG580","discover_s8","YG1 (575)-A"
"cFluor YG610","discover_s8","YG3 (605)-A"
"cFluor YG667","discover_s8","YG5 (655)-A"
"cFluor YG720","discover_s8","YG8 (725)-A"
"cFluor YG780","discover_s8","YG10 (780)-A"
"Cy3","discover_s8","YG2 (590)-A"
"Cy5","discover_s8","R1 (655)-A"
"Cy5.5","discover_s8","R3 (700)-A"
"Cy7","discover_s8","R6 (780)-A"
"DAPI","discover_s8","V2 (440)-A"
"DRAQ5","discover_s8","R2 (675)-A"
"DRAQ7","discover_s8","R2 (675)-A"
"DyLight 680","discover_s8","R3 (700)-A"
"DyLight 800","discover_s8","R7 (810)-A"
"EBFP","discover_s8","V3 (460)-A"
"ECFP","discover_s8","B2 (515)-A"
"EdU Alexa 488","discover_s8","B2 (515)-A"
"EdU Alexa 647","discover_s8","R2 (675)-A"
"eFluor 450","discover_s8","V2 (440)-A"
"eFluor 506","discover_s8","V6 (515)-A"
"eFluor 660","discover_s8","R2 (675)-A"
"eFluor 780","discover_s8","R6 (780)-A"
"EYFP","discover_s8","B3 (530)-A"
"FITC","discover_s8","B2 (515)-A"
"Fixable Viability Dye eFluor 450","discover_s8","V2 (440)-A"
"Fixable Viability Dye eFluor 506","discover_s8","V6 (515)-A"
"Fixable Viability Dye eFluor 520","discover_s8","B2 (515)-A"
"FVS450","discover_s8","V2 (440)-A"
"FVS575V","discover_s8","V8 (545)-A"
"FVS620","discover_s8","V12 (625)-A"
"FVS660","discover_s8","V13 (655)-A"
"FVS780","discover_s8","R6 (780)-A"
"GFP","discover_s8","B1 (500)-A"
"Hoechst","discover_s8","UV7 (500)-A"
"iRFP670","discover_s8","R1 (655)-A"
"iRFP720","discover_s8","R4 (725)-A"
"Keima","discover_s8","YG3 (605)-A"
"KIRAVIA Blue 520","discover_s8","B2 (515)-A"
"Live-Dead Blue","discover_s8","UV4 (440)-A"
"LIVE/DEAD Aqua","discover_s8","V4 (475)-A"
"LIVE/DEAD Blue","discover_s8","UV4 (440)-A"
"LIVE/DEAD Fixable Near-IR","discover_s8","R6 (780)-A"
"mCherry","discover_s8","YG3 (605)-A"
"mCitrine","discover_s8","B4 (545)-A"
"mFluor Vio610","discover_s8","V11 (605)-A"
"miRFP670","discover_s8","R1 (655)-A"
"miRFP703","discover_s8","R3 (700)-A"
"mKate2","discover_s8","R1 (655)-A"
"mNeonGreen","discover_s8","B2 (515)-A"
"mOrange","discover_s8","YG2 (590)-A"
"mPlum","discover_s8","R3 (700)-A"
"mRuby","discover_s8","YG3 (605)-A"
"mScarlet","discover_s8","YG5 (655)-A"
"mTagBFP2","discover_s8","V3 (460)-A"
"NovaFluor Blue 510","discover_s8","B1 (500)-A"
"NovaFluor Blue 530","discover_s8","B3 (530)-A"
"NovaFluor Blue 555","discover_s8","B4 (545)-A"
"NovaFluor Blue 585","discover_s8","B6 (590)-A"
"NovaFluor Blue 610-30S","discover_s8","B7 (605)-A"
"NovaFluor Blue 610-70S","discover_s8","B7 (605)-A"
"NovaFluor Blue 660-120S","discover_s8","B9 (655)-A"
"NovaFluor Blue 660-40S","discover_s8","B9 (655)-A"
"NovaFluor Blue 690","discover_s8","B11 (700)-A"
"NovaFluor Blue 725","discover_s8","B12 (725)-A"
"NovaFluor Blue 760","discover_s8","B13 (750)-A"
"NovaFluor Blue 800","discover_s8","B15 (810)-A"
"NovaFluor Red 660","discover_s8","R2 (675)-A"
"NovaFluor Red 685","discover_s8","R3 (700)-A"
"NovaFluor Red 700","discover_s8","R3 (700)-A"
"NovaFluor Red 710","discover_s8","R3 (700)-A"
"NovaFluor Red 725","discover_s8","R4 (725)-A"
"NovaFluor Red 755","discover_s8","R5 (750)-A"
"NovaFluor UV 765","discover_s8","UV19 (750)-A"
"NovaFluor Violet 690","discover_s8","V15 (700)-A"
"NovaFluor Violet 745","discover_s8","V17 (750)-A"
"NovaFluor Violet 800","discover_s8","V19 (810)-A"
"NovaFluor Yellow 570","discover_s8","YG1 (575)-A"
"NovaFluor Yellow 590","discover_s8","YG2 (590)-A"
"NovaFluor Yellow 610","discover_s8","YG3 (605)-A"
"NovaFluor Yellow 660","discover_s8","YG5 (655)-A"
"NovaFluor Yellow 690","discover_s8","YG7 (700)-A"
"NovaFluor Yellow 700","discover_s8","YG7 (700)-A"
"NovaFluor Yellow 730","discover_s8","YG8 (725)-A"
"NovaFluor Yellow 755","discover_s8","YG9 (750)-A"
"NovaFluor Yellow 810","discover_s8","YG11 (810)-A"
"Pacific Blue","discover_s8","V3 (460)-A"
"Pacific Orange","discover_s8","V8 (545)-A"
"PE","discover_s8","YG1 (575)-A"
"PE-Alexa Fluor 610","discover_s8","YG4 (625)-A"
"PE-Alexa Fluor 700","discover_s8","YG8 (725)-A"
"PE-CF594","discover_s8","YG3 (605)-A"
"PE-Cy5","discover_s8","YG5 (655)-A"
"PE-Cy5.5","discover_s8","YG7 (700)-A"
"PE-Cy7","discover_s8","YG10 (780)-A"
"PE-Dazzle 594","discover_s8","YG3 (605)-A"
"PE-eFluor 610","discover_s8","YG3 (605)-A"
"PE-Fire 640","discover_s8","YG4 (625)-A"
"PE-Fire 700","discover_s8","YG7 (700)-A"
"PE-Fire 744","discover_s8","YG9 (750)-A"
"PE-Fire 810","discover_s8","YG11 (810)-A"
"PE-Texas Red","discover_s8","YG4 (625)-A"
"PE-Vio615","discover_s8","YG4 (625)-A"
"PE-Vio770","discover_s8","YG10 (780)-A"
"PerCP","discover_s8","B10 (675)-A"
"PerCP-Cy5.5","discover_s8","B11 (700)-A"
"PerCP-eFluor 710","discover_s8","B11 (700)-A"
"PerCP-Fire 780","discover_s8","B14 (780)-A"
"PerCP-Fire 806","discover_s8","B15 (810)-A"
"Propidium Iodide","discover_s8","YG5 (655)-A"
"Qdot 525","discover_s8","V7 (530)-A"
"Qdot 545","discover_s8","V8 (545)-A"
"Qdot 565","discover_s8","V9 (575)-A"
"Qdot 585","discover_s8","V10 (590)-A"
"Qdot 605","discover_s8","V11 (605)-A"
"Qdot 625","discover_s8","V12 (625)-A"
"Qdot 655","discover_s8","V13 (655)-A"
"Qdot 705","discover_s8","V15 (700)-A"
"Qdot 800","discover_s8","V19 (810)-A"
"R718","discover_s8","R4 (725)-A"
"RB545","discover_s8","B4 (545)-A"
"RB613","discover_s8","B7 (605)-A"
"RB670","discover_s8","B10 (675)-A"
"RB705","discover_s8","B11 (700)-A"
"RB744","discover_s8","B13 (750)-A"
"RB780","discover_s8","B14 (780)-A"
"RFP","discover_s8","YG1 (575)-A"
"RR688","discover_s8","R3 (700)-A"
"RY586","discover_s8","YG2 (590)-A"
"RY610","discover_s8","YG3 (605)-A"
"RY655","discover_s8","YG5 (655)-A"
"RY703","discover_s8","YG7 (700)-A"
"RY743","discover_s8","YG9 (750)-A"
"RY775","discover_s8","YG10 (780)-A"
"SBB580","discover_s8","B5 (575)-A"
"SBB615","discover_s8","B7 (605)-A"
"SBB675","discover_s8","B10 (675)-A"
"SBB700","discover_s8","B11 (700)-A"
"SBB765","discover_s8","B13 (750)-A"
"SBB810","discover_s8","B15 (810)-A"
"SBR670","discover_s8","R2 (675)-A"
"SBR715","discover_s8","R4 (725)-A"
"SBR775","discover_s8","R6 (780)-A"
"SBR815","discover_s8","R7 (810)-A"
"SBUV400","discover_s8","UV2 (390)-A"
"SBUV445","discover_s8","UV4 (440)-A"
"SBUV510","discover_s8","UV8 (515)-A"
"SBUV540","discover_s8","UV10 (545)-A"
"SBUV575","discover_s8","UV11 (575)-A"
"SBUV605","discover_s8","UV13 (605)-A"
"SBUV665","discover_s8","UV15 (655)-A"
"SBUV700","discover_s8","UV17 (700)-A"
"SBUV740","discover_s8","UV19 (750)-A"
"SBUV770","discover_s8","UV20 (780)-A"
"SBUV795","discover_s8","UV20 (780)-A"
"SBV440","discover_s8","V2 (440)-A"
"SBV475","discover_s8","V4 (475)-A"
"SBV515","discover_s8","V6 (515)-A"
"SBV535","discover_s8","V7 (530)-A"
"SBV570","discover_s8","V9 (575)-A"
"SBV610","discover_s8","V11 (605)-A"
"SBV670","discover_s8","V14 (675)-A"
"SBV710","discover_s8","V15 (700)-A"
"SBV760","discover_s8","V17 (750)-A"
"SBV790","discover_s8","V18 (780)-A"
"SBY575","discover_s8","YG1 (575)-A"
"SBY605","discover_s8","YG3 (605)-A"
"SBY665","discover_s8","YG5 (655)-A"
"SBY720","discover_s8","YG8 (725)-A"
"SBY800","discover_s8","YG10 (780)-A"
"Spark Blue 515","discover_s8","B2 (515)-A"
"Spark Blue 550","discover_s8","B4 (545)-A"
"Spark Blue 574","discover_s8","B5 (575)-A"
"Spark NIR 685","discover_s8","R3 (700)-A"
"Spark PLUS B550","discover_s8","B4 (545)-A"
"Spark PLUS Blue 574","discover_s8","B5 (575)-A"
"Spark PLUS UV 395","discover_s8","UV2 (390)-A"
"Spark PLUS V475","discover_s8","V4 (475)-A"
"Spark Red 718","discover_s8","R4 (725)-A"
"Spark UV 387","discover_s8","UV1 (375)-A"
"Spark UV 395","discover_s8","UV2 (390)-A"
"Spark Violet 423","discover_s8","V1 (420)-A"
"Spark Violet 500","discover_s8","V5 (500)-A"
"Spark Violet 538","discover_s8","V8 (545)-A"
"Spark YG 570","discover_s8","YG1 (575)-A"
"Spark YG 581","discover_s8","YG1 (575)-A"
"Spark YG 593","discover_s8","YG2 (590)-A"
"Super Bright 436","discover_s8","V2 (440)-A"
"Super Bright 600","discover_s8","V11 (605)-A"
"Super Bright 645","discover_s8","V13 (655)-A"
"Super Bright 702","discover_s8","V15 (700)-A"
"Super Bright 780","discover_s8","V18 (780)-A"
"SYTO 9","discover_s8","B2 (515)-A"
"SYTOX Blue","discover_s8","V3 (460)-A"
"SYTOX Green","discover_s8","B2 (515)-A"
"SYTOX Orange","discover_s8","YG1 (575)-A"
"SYTOX Red","discover_s8","R1 (655)-A"
"tdTomato","discover_s8","YG2 (590)-A"
"Texas Red","discover_s8","R1 (655)-A"
"TRITC","discover_s8","YG2 (590)-A"
"Turquoise","discover_s8","B2 (515)-A"
"V450","discover_s8","V2 (440)-A"
"V500","discover_s8","V5 (500)-A"
"V547","discover_s8","V8 (545)-A"
"ViaKrome 808","discover_s8","R5 (750)-A"
"VioBright B515","discover_s8","B2 (515)-A"
"VioBright FITC","discover_s8","B2 (515)-A"
"VioBright V600","discover_s8","V11 (605)-A"
"YFP","discover_s8","B3 (530)-A"
"Zombie Aqua","discover_s8","V4 (475)-A"
"Zombie Green","discover_s8","B2 (515)-A"
"Zombie NIR","discover_s8","R5 (750)-A"
"Zombie Red","discover_s8","R1 (655)-A"
"Zombie UV","discover_s8","UV5 (460)-A"
"Zombie Violet","discover_s8","V2 (440)-A"
"Zombie Yellow","discover_s8","YG1 (575)-A"
"7-AAD","discover_a8","YG5 (655)-A"
"Alexa Fluor 350","discover_a8","UV4 (440)-A"
"Alexa Fluor 405","discover_a8","V1 (420)-A"
"Alexa Fluor 488","discover_a8","B2 (515)-A"
"Alexa Fluor 514","discover_a8","B4 (545)-A"
"Alexa Fluor 532","discover_a8","B4 (545)-A"
"Alexa Fluor 555","discover_a8","YG1 (575)-A"
"Alexa Fluor 568","discover_a8","YG3 (605)-A"
"Alexa Fluor 594","discover_a8","YG4 (625)-A"
"Alexa Fluor 610","discover_a8","YG4 (625)-A"
"Alexa Fluor 633","discover_a8","R1 (655)-A"
"Alexa Fluor 647","discover_a8","R2 (675)-A"
"Alexa Fluor 660","discover_a8","R3 (700)-A"
"Alexa Fluor 680","discover_a8","R3 (700)-A"
"Alexa Fluor 700","discover_a8","R4 (725)-A"
"Alexa Fluor 790","discover_a8","R7 (810)-A"
"AmCyan","discover_a8","V5 (500)-A"
"APC","discover_a8","R1 (655)-A"
"APC-Cy5.5","discover_a8","R3 (700)-A"
"APC-Cy7","discover_a8","R6 (780)-A"
"APC-eFluor 780","discover_a8","R6 (780)-A"
"APC-Fire 750","discover_a8","R6 (780)-A"
"APC-Fire 810","discover_a8","R7 (810)-A"
"APC-H7","discover_a8","R6 (780)-A"
"APC-R700","discover_a8","R4 (725)-A"
"APC-Vio750","discover_a8","R5 (750)-A"
"APC-Vio770","discover_a8","R6 (780)-A"
"BB515","discover_a8","B2 (515)-A"
"BB630","discover_a8","B8 (625)-A"
"BB660","discover_a8","B9 (655)-A"
"BB700","discover_a8","B11 (700)-A"
"BB755","discover_a8","B13 (750)-A"
"BB790","discover_a8","B14 (780)-A"
"BrDU FITC","discover_a8","B2 (515)-A"
"BUV395","discover_a8","UV3 (420)-A"
"BUV496","discover_a8","UV7 (500)-A"
"BUV563","discover_a8","UV11 (575)-A"
"BUV615","discover_a8","UV13 (605)-A"
"BUV661","discover_a8","UV15 (655)-A"
"BUV737","discover_a8","UV18 (725)-A"
"BUV805","discover_a8","UV21 (810)-A"
"BV421","discover_a8","V1 (420)-A"
"BV480","discover_a8","V4 (475)-A"
"BV510","discover_a8","V6 (515)-A"
"BV570","discover_a8","V9 (575)-A"
"BV570-T","discover_a8","V9 (575)-A"
"BV605","discover_a8","V11 (605)-A"
"BV650","discover_a8","V13 (655)-A"
"BV711","discover_a8","V15 (700)-A"
"BV750","discover_a8","V17 (750)-A"
"BV785","discover_a8","V18 (780)-A"
"BV786","discover_a8","V18 (780)-A"
"CellTrace Blue","discover_a8","UV7 (500)-A"
"CellTrace Calcein AM","discover_a8","B2 (515)-A"
"CellTrace Calcein Blue","discover_a8","UV4 (440)-A"
"CellTrace CFSE","discover_a8","B2 (515)-A"
"CellTrace Far Red","discover_a8","R2 (675)-A"
"CellTrace Oregon Green","discover_a8","B2 (515)-A"
"CellTrace Red","discover_a8","YG3 (605)-A"
"CellTrace Violet","discover_a8","V3 (460)-A"
"CellTrace Yellow","discover_a8","B4 (545)-A"
"CF350","discover_a8","UV5 (460)-A"
"CF405L","discover_a8","V8 (545)-A"
"CF405M","discover_a8","V3 (460)-A"
"CF405S","discover_a8","V2 (440)-A"
"CF430","discover_a8","V5 (500)-A"
"CF440","discover_a8","V6 (515)-A"
"CF450","discover_a8","B3 (530)-A"
"CF488A","discover_a8","B2 (515)-A"
"CF503R","discover_a8","B3 (530)-A"
"CF514","discover_a8","B4 (545)-A"
"CF532","discover_a8","B4 (545)-A"
"CF543","discover_a8","B5 (575)-A"
"CF550R","discover_a8","YG1 (575)-A"
"CF555","discover_a8","YG1 (575)-A"
"CF568","discover_a8","YG1 (575)-A"
"CF570","discover_a8","YG2 (590)-A"
"CF583","discover_a8","YG3 (605)-A"
"CF594","discover_a8","YG3 (605)-A"
"CF620R","discover_a8","R1 (655)-A"
"CF633","discover_a8","R1 (655)-A"
"CF640R","discover_a8","R1 (655)-A"
"CF647","discover_a8","R2 (675)-A"
"CF660C","discover_a8","R2 (675)-A"
"CF660R","discover_a8","R2 (675)-A"
"CF680","discover_a8","R3 (700)-A"
"CF680R","discover_a8","R3 (700)-A"
"CF700","discover_a8","R4 (725)-A"
"CF710","discover_a8","R4 (725)-A"
"CF725","discover_a8","R5 (750)-A"
"CF740","discover_a8","R5 (750)-A"
"CF750","discover_a8","R6 (780)-A"
"CF770","discover_a8","R7 (810)-A"
"CF790","discover_a8","R7 (810)-A"
"CF800","discover_a8","V19 (810)-A"
"cFluor B513","discover_a8","B2 (515)-A"
"cFluor B548","discover_a8","B4 (545)-A"
"cFluor B610","discover_a8","B7 (605)-A"
"cFluor B660","discover_a8","B9 (655)-A"
"cFluor B710","discover_a8","B11 (700)-A"
"cFluor B760","discover_a8","B13 (750)-A"
"cFluor R659","discover_a8","R1 (655)-A"
"cFluor R685","discover_a8","R3 (700)-A"
"cFluor R720","discover_a8","R4 (725)-A"
"cFluor R775","discover_a8","R6 (780)-A"
"cFluor R840","discover_a8","R7 (810)-A"
"cFluor UV450","discover_a8","UV4 (440)-A"
"cFluor UV610","discover_a8","UV13 (605)-A"
"cFluor V450","discover_a8","V2 (440)-A"
"cFluor V500","discover_a8","V5 (500)-A"
"cFluor V610","discover_a8","V11 (605)-A"
"cFluor V650","discover_a8","V13 (655)-A"
"cFluor V710","discover_a8","V15 (700)-A"
"cFluor V785","discover_a8","V18 (780)-A"
"cFluor YG580","discover_a8","YG1 (575)-A"
"cFluor YG610","discover_a8","YG3 (605)-A"
"cFluor YG667","discover_a8","YG5 (655)-A"
"cFluor YG720","discover_a8","YG8 (725)-A"
"cFluor YG780","discover_a8","YG10 (780)-A"
"Cy3","discover_a8","YG2 (590)-A"
"Cy5","discover_a8","R1 (655)-A"
"Cy5.5","discover_a8","R3 (700)-A"
"Cy7","discover_a8","R6 (780)-A"
"DAPI","discover_a8","V2 (440)-A"
"DRAQ5","discover_a8","R2 (675)-A"
"DRAQ7","discover_a8","R2 (675)-A"
"DyLight 680","discover_a8","R3 (700)-A"
"DyLight 800","discover_a8","R7 (810)-A"
"EBFP","discover_a8","V3 (460)-A"
"ECFP","discover_a8","B2 (515)-A"
"EdU Alexa 488","discover_a8","B2 (515)-A"
"EdU Alexa 647","discover_a8","R2 (675)-A"
"eFluor 450","discover_a8","V2 (440)-A"
"eFluor 506","discover_a8","V6 (515)-A"
"eFluor 660","discover_a8","R2 (675)-A"
"eFluor 780","discover_a8","R6 (780)-A"
"EYFP","discover_a8","B3 (530)-A"
"FITC","discover_a8","B2 (515)-A"
"Fixable Viability Dye eFluor 450","discover_a8","V2 (440)-A"
"Fixable Viability Dye eFluor 506","discover_a8","V6 (515)-A"
"Fixable Viability Dye eFluor 520","discover_a8","B2 (515)-A"
"FVS450","discover_a8","V2 (440)-A"
"FVS575V","discover_a8","V8 (545)-A"
"FVS620","discover_a8","V12 (625)-A"
"FVS660","discover_a8","V13 (655)-A"
"FVS780","discover_a8","R6 (780)-A"
"GFP","discover_a8","B1 (500)-A"
"Hoechst","discover_a8","UV7 (500)-A"
"iRFP670","discover_a8","R1 (655)-A"
"iRFP720","discover_a8","R4 (725)-A"
"Keima","discover_a8","YG3 (605)-A"
"KIRAVIA Blue 520","discover_a8","B2 (515)-A"
"Live-Dead Blue","discover_a8","UV4 (440)-A"
"LIVE/DEAD Aqua","discover_a8","V4 (475)-A"
"LIVE/DEAD Blue","discover_a8","UV4 (440)-A"
"LIVE/DEAD Fixable Near-IR","discover_a8","R6 (780)-A"
"mCherry","discover_a8","YG3 (605)-A"
"mCitrine","discover_a8","B4 (545)-A"
"mFluor Vio610","discover_a8","V11 (605)-A"
"miRFP670","discover_a8","R1 (655)-A"
