"fluorophore","FL07-A","FL08-A","FL10-A","FL09-A","FL11-A","FL06-A","FL05-A","FL04-A","FL03-A","FL00-A","FL01-A","FL02-A","FL16-A","FL15-A","FL17-A","FL18-A","FL13-A","FL14-A","FL12-A","FL23-A","FL22-A","FL21-A","FL19-A","FL20-A","FL37-A","FL36-A","FL38-A","FL39-A","FL42-A","FL41-A","FL40-A","FL31-A","FL32-A","FL34-A","FL33-A","FL35-A","FL24-A","FL26-A","FL25-A","FL28-A","FL27-A","FL30-A","FL29-A","FL46-A","FL47-A","FL43-A","FL45-A","FL44-A","FL48-A","FL49-A","FL50-A"
"Alexa Fluor 350",0.040896,0.621333,0.844226,1,0.906125,0.415451,0.091714,0.03243,0.013251,0.004939,0.000867,8.12e-05,0.047325,0.048915,0.044276,0.025037,0.011852,0.002681,0.000952,0.000105,6.24e-07,3e-05,-4.14e-06,-8.16e-06,4.46e-05,4.32e-05,6.21e-05,1.47e-05,9.03e-07,4.53e-06,3.3e-06,8.92e-05,9.07e-05,4.84e-05,3.15e-05,4.23e-05,-4e-05,-0.00012,4.67e-06,4.58e-05,-4.5e-05,5.31e-06,5.87e-06,1.05e-05,-9.62e-06,-1.43e-05,4.26e-06,-5.99e-05,2.14e-05,-2.68e-06,-8.62e-07
"Alexa Fluor 488",0.001037,0.000866,0.00061,0.000915,0.001229,0.020757,0.019659,0.006335,0.001799,0.000283,8.37e-05,-3.9e-05,0.000145,0.000179,0.000133,0.000526,0.007018,0.005228,0.001225,0.000265,-1.43e-05,-2.74e-05,3.59e-05,-2.25e-05,1,0.448468,0.080475,0.042098,0.006437,0.000871,0.000148,3.67e-05,6.49e-05,4.47e-06,3.44e-06,6.05e-05,4.67e-06,0.000257,8.49e-05,0.000234,0.000173,-7.54e-05,7.08e-05,-7.66e-05,3.15e-05,4.17e-06,4.72e-05,0.000495,8.62e-05,-1e-04,-0.00014
"Alexa Fluor 594",-0.02258,-0.02358,-0.01356,-0.02541,-0.04831,-0.05425,-0.03226,-0.01512,0.177292,0.134085,0.040091,0.000815,-0.00849,-0.0059,-0.00459,-0.00856,-0.0161,-0.01525,-0.00298,0.230195,0.118253,0.050138,0.010564,0.004351,-1e-04,0.000415,0.002348,0.01601,0.009158,0.00243,0.000574,0.011024,0.149534,0.820342,1,0.843116,0.312911,0.305223,0.140296,0.19011,0.016623,0.006125,2.67e-05,0.029744,0.005225,0.004659,0.002942,0.002511,-6.14e-05,-4.51e-05,-0.00012
"Alexa Fluor 647",0.001279,0.001193,0.000534,0.000973,0.001302,0.00146,0.000779,0.000209,0.000358,0.019043,0.007042,0.000976,-9.42e-05,-6.73e-05,0.000159,7.63e-05,0.00051,0.000432,9.47e-05,9.79e-05,0.000715,0.001302,7.85e-05,-1.05e-05,0.000393,0.000202,-6.22e-05,-1.76e-05,0.002915,0.000738,7.41e-05,-3.31e-05,8.35e-07,4.72e-05,-4.41e-07,0.113376,0.052968,0.048827,0.024708,0.047322,0.003457,0.00095,-4.61e-05,1,0.280125,0.285266,0.253758,0.112654,1.9e-05,-4.68e-06,7.55e-05
"Alexa Fluor 700",0.003941,0.00249,0.001886,0.002249,0.006656,0.004963,0.003866,0.001271,0.000657,0.011085,0.306095,0.041257,0.000596,0.000511,0.001501,0.001913,0.004514,0.002742,0.001046,0.000995,0.000447,0.120753,0.060946,0.033114,0.005911,0.002665,0.001086,0.001155,0.000382,0.029585,0.005678,-9.74e-05,0.000295,0.000327,0.000565,0.006354,0.020525,0.108966,0.151927,0.228278,0.032394,0.006557,0.000706,0.020829,0.318164,1,0.716758,0.393353,0.001129,0.000767,0.000262
"APC",0.00102,0.000952,0.00047,0.000738,0.000958,0.001486,0.001022,0.000158,0.002617,0.205064,0.072974,0.007594,-0.00017,6.38e-05,-4.49e-05,0.000647,0.000389,0.000661,0.000347,0.00116,0.077181,0.025769,0.010767,0.00571,0.000422,0.000736,0.000276,0.000332,0.014312,0.003402,0.000791,-2.58e-05,6.79e-05,0.001121,0.006188,0.423709,0.076144,0.074736,0.056989,0.10831,0.014227,0.005121,1.46e-05,1,0.125771,0.186374,0.164814,0.085607,2.97e-05,-5.5e-05,0.000283
"APC-Cy7",0.000182,-0.00011,-0.00011,0.000488,0.001934,0.003528,0.003948,0.002368,0.002588,0.003038,0.006041,0.10754,0.000164,0.000158,0.000997,0.001068,0.003467,0.002314,0.000793,-5.36e-05,0.000315,0.000771,0.00669,0.091506,0.004141,0.003315,-9.63e-05,0.000495,0.000372,0.000205,0.006958,9.47e-05,5.98e-06,8.07e-05,7.55e-05,0.005002,0.000763,0.001709,0.000452,0.091291,0.120752,0.027581,0.000539,0.025539,0.00105,0.005727,0.243825,1,0.881374,0.282885,0.059169
"APC-H7",-8.04e-05,0.000139,-0.00013,2.62e-05,0.000413,0.000528,0.001835,0.000449,0.000509,0.001062,0.001363,0.065569,0.000356,0.000259,0.00104,0.001061,0.002054,0.001569,0.000563,0.000435,0.000199,0.000226,0.001689,0.052356,0.002817,0.002573,7.52e-05,0.000279,0.000103,-9.23e-05,0.003372,-6.6e-05,-0.00011,-2.72e-05,-1.23e-05,0.000798,0.000493,0.00119,0.000201,0.026052,0.076189,0.016737,0.000493,0.003691,6.11e-05,0.000679,0.076554,0.630854,1,0.352827,0.077087
"APC-R700",7.85e-05,-7.13e-05,-7.95e-05,-7.14e-05,-9.75e-05,0.000994,0.001118,0.000612,0.000669,0.018591,0.297586,0.034808,0.00022,-1.7e-05,0.000807,0.00075,0.001818,0.001499,0.000504,0.000103,0.001911,0.097719,0.035113,0.020548,0.003064,0.002188,0.000268,0.000226,0.00117,0.03914,0.00691,1.81e-05,-8.12e-06,-8.18e-05,-2.67e-06,0.015547,0.043312,0.181626,0.226129,0.317,0.046369,0.010642,0.00046,0.05172,0.414981,1,0.648363,0.325441,0.000416,0.000324,0.000172
"APC-Fire 750",0.002428,-0.00877,-0.00725,-0.01185,-0.01968,-0.02221,-0.01283,-0.00639,-0.00505,-0.00276,0.001244,0.096821,-0.00618,-0.00481,-0.00164,-4.39e-06,-0.0068,-0.00569,-0.00135,-0.00074,0.000542,1.77e-06,0.007275,0.0835,0.000379,0.00044,0.000737,0.000584,0.000387,1.81e-05,0.00169,0.000123,0.000601,0.000808,0.001239,0.005766,0.001272,0.001104,0.000845,0.062496,0.107019,0.023255,0.00088,0.015551,0.001574,0.003619,0.146928,0.774505,1,0.328869,0.057362
"APC-Fire 810",-0.00111,-0.00154,-0.00071,-0.00204,-0.00518,-0.00666,-0.00422,-0.00238,-0.0016,0.013752,0.00527,0.089787,-0.00075,-0.00016,0.000575,0.000285,-0.00068,-0.00099,-0.00066,-0.00015,0.005858,0.001867,0.000983,0.084841,0.000312,0.000179,0.000185,0.000126,0.000317,6.61e-05,0.001539,0.000167,0.00033,0.001135,0.001707,0.032676,0.008051,0.007143,0.004325,0.011288,0.107072,0.041127,0.001137,0.090404,0.021696,0.025674,0.028462,0.726379,1,0.484096,0.078435
"BB515",0.000166,0.000148,0.000122,9.21e-05,0.000351,0.030032,0.017183,0.00616,0.002092,0.000369,-3.71e-05,-3.49e-05,7.16e-05,1.27e-07,0.000142,9.07e-05,0.006554,0.003385,0.000974,0.000225,4.58e-05,-4.2e-05,8.91e-06,1.2e-05,1,0.360494,0.059434,0.030982,0.005956,0.000792,0.000153,-9.41e-06,-3.87e-05,-2.99e-05,3.2e-05,-6.01e-06,5.04e-05,-3.34e-05,1.55e-05,1.88e-05,-4.26e-05,1.27e-05,2.75e-05,-7.7e-06,-1.12e-05,1.99e-05,-1.55e-05,0.000105,1.73e-05,1.94e-05,-6.28e-05
"BB630",0.001003,0.000802,0.000287,0.000475,0.000877,0.001434,0.0074,0.014813,0.283722,0.128957,0.04064,0.004077,6.57e-05,-4.12e-05,0.000409,0.000255,0.00207,0.011506,0.026017,0.388448,0.12815,0.051089,0.015633,0.007812,0.014148,0.031355,0.106002,1,0.331974,0.096076,0.029048,0.011324,0.061574,0.30106,0.234415,0.160345,0.044766,0.037641,0.018237,0.026858,0.002452,0.000594,6.01e-05,0.000737,5.77e-05,-2.09e-06,0.000121,-0.00042,9.98e-07,-6.34e-06,-2.97e-05
"BB660",0.00115,0.000765,0.000492,0.000694,0.001139,0.002263,0.006699,0.007227,0.018861,0.374036,0.139253,0.014659,-3.69e-05,2.47e-05,-0.00027,0.000259,0.002254,0.012418,0.013333,0.028286,0.379544,0.16135,0.053455,0.033667,0.016825,0.031583,0.024295,0.062841,1,0.348929,0.090482,-7.39e-05,0.000109,1.11e-06,0.000828,0.114671,0.028044,0.027178,0.016708,0.024275,0.002483,0.000405,0.000109,0.96729,0.158309,0.197605,0.133508,0.069891,4.28e-05,0.000121,0.000181
"BB700",0.001928,0.001216,0.000688,0.000771,0.000769,0.001601,0.008291,0.0079,0.01268,0.196388,0.394196,0.063869,-0.00032,-9.94e-06,0.000126,0.000306,0.002421,0.014701,0.016682,0.020994,0.100431,0.602323,0.172575,0.145181,0.02076,0.039267,0.029416,0.048096,0.508299,1,0.348118,0.000115,8.53e-05,3.67e-05,6.82e-05,0.023632,0.061157,0.101616,0.05159,0.082606,0.009915,0.002816,0.000102,0.120611,0.388523,0.360019,0.276478,0.16957,0.000244,-5.39e-05,-0.00031
"BB755",0.003163,0.002788,0.001057,0.00183,0.005874,0.003418,0.015517,0.015341,0.025781,0.024582,0.246988,0.198579,-2.59e-05,-0.00027,0.000543,0.000301,0.007303,0.03011,0.034194,0.043126,0.02777,0.075965,0.368713,0.4229,0.040635,0.07873,0.057739,0.099571,0.073813,0.413572,1,-6.19e-06,-0.00017,1.95e-05,-2e-04,-0.00027,-0.00019,0.000903,0.001759,0.076168,0.012583,0.004016,1.19e-05,0.00052,7.66e-05,0.028857,0.187667,0.152331,0.003425,0.002617,0.000955
"BB790",0.000162,5.03e-05,5.09e-05,5.85e-05,0.000161,0.003615,0.056594,0.058667,0.084788,0.07882,0.118849,0.6925,1.99e-05,-2.15e-06,3.57e-05,3.64e-05,0.006367,0.076918,0.077723,0.096593,0.062175,0.052589,0.313107,0.909592,0.131807,0.285084,0.186474,0.278821,0.188771,0.179662,1,0.000892,0.001116,0.001838,0.001453,0.002476,0.000948,0.001314,0.001481,0.063113,0.084009,0.020985,0.001363,0.001596,0.001013,0.004844,0.116438,0.37771,0.757304,0.366641,0.100927
"BUV395",1,0.780433,0.473296,0.337279,0.266663,0.096816,0.025117,0.007063,0.002026,0.000608,0.000302,-0.00021,0.002733,0.001408,0.001066,0.000685,0.000622,0.001008,0.000111,0.000369,-0.00031,-9.76e-05,-4.77e-05,-0.00018,0.000905,0.000739,0.000431,0.000125,7.51e-05,-2.95e-05,-0.00025,3.05e-05,3.25e-05,9.15e-06,-2e-04,0.000151,0.000105,-0.00012,-7.74e-05,0.000508,-2.12e-05,4.91e-05,1.12e-05,0.000103,-3.03e-05,6.8e-05,3.45e-06,-0.00053,0.000102,4.88e-05,0.000135
"BUV496",0.095171,0.122695,0.088649,0.111738,0.430931,1,0.479429,0.194339,0.098079,0.035507,0.009017,0.001131,0.000518,0.000385,0.014818,0.066252,0.17475,0.07916,0.032905,0.012666,0.001376,0.000605,-4.59e-05,0.000407,0.052424,0.022591,0.002353,0.00136,0.000109,0.000119,2.85e-05,-0.00022,-0.00014,-0.00013,-4.04e-05,-3.02e-06,3.39e-05,0.000615,-2.23e-05,-9.26e-05,0.000651,-3.47e-05,-4.83e-05,3.11e-05,5.46e-05,-6.71e-05,-8.27e-05,0.000334,-2.47e-06,-1.23e-05,0.000134
"BUV563",0.085676,0.109515,0.077708,0.064688,0.05722,0.027323,0.957203,1,0.525459,0.165438,0.049044,0.003304,0.000775,0.000184,0.000899,0.000819,0.001402,0.032658,0.035935,0.015361,0.001919,0.000422,8.97e-05,-0.00037,0.01527,0.171242,0.099522,0.06727,0.013616,0.001654,0.00041,0.201009,0.139995,0.127411,0.078948,0.0445,0.011387,0.010056,0.003151,0.005552,0.000861,0.000119,9.34e-05,8.53e-05,-5.22e-05,0.00011,-7.93e-05,-0.00021,-1.58e-06,0.000129,5.57e-06
"BUV615",0.035467,0.046842,0.033328,0.027923,0.025738,0.011915,0.003609,0.000825,0.000257,0.007548,1,0.282666,0.000266,0.000185,0.000142,0.000116,0.000432,0.000596,0.000278,-3.81e-05,7.11e-06,0.015974,0.030493,0.021335,0.000252,0.000303,-2.12e-05,-0.00012,-9.54e-06,0.059777,0.037761,-2.03e-05,3.95e-05,-2.2e-06,-5.83e-05,1.68e-05,0.000195,0.000901,0.005727,0.021955,0.002829,0.000599,-6.77e-06,0.000127,0.010548,0.091293,0.149438,0.090304,0.00016,0.000283,-2.43e-05
"BUV661",0.024085,0.032898,0.023391,0.019679,0.018744,0.008156,0.002547,0.001045,0.042764,1,0.419747,0.05094,0.000237,0.000123,2.72e-05,7.37e-05,0.000538,0.000343,0.000111,0.001306,0.03657,0.019007,0.005302,0.002275,0.00031,0.000311,-1.02e-05,0.00027,0.009228,0.002782,0.000316,-2.55e-05,-1.75e-05,0.000765,0.00589,0.135539,0.03748,0.038389,0.024674,0.035183,0.004559,0.000836,-1.95e-05,0.440032,0.09141,0.10709,0.072801,0.036472,3.63e-05,0.000131,-4.31e-05
"BUV737",0.038634,0.048837,0.035108,0.028503,0.026086,0.011677,0.005623,0.036774,1,0.503163,0.179225,0.021032,0.000397,0.00011,0.000348,0.000447,0.000623,0.000566,0.001565,0.056487,0.019756,0.009378,0.00152,0.000917,0.000179,0.000371,0.002028,0.026533,0.009048,0.00176,0.000287,0.010461,0.073819,0.308568,0.26199,0.194003,0.066801,0.064752,0.031136,0.051308,0.004529,0.001577,1.72e-05,0.001875,-6.02e-06,-2.46e-05,6.46e-05,0.000231,3.64e-05,-2.45e-05,1.34e-05
