"fluorophore","FL07-A","FL08-A","FL10-A","FL09-A","FL11-A","FL06-A","FL05-A","FL04-A","FL03-A","FL00-A","FL01-A","FL02-A","FL16-A","FL15-A","FL17-A","FL18-A","FL13-A","FL14-A","FL12-A","FL23-A","FL22-A","FL21-A","FL19-A","FL20-A","FL37-A","FL36-A","FL38-A","FL39-A","FL42-A","FL41-A","FL40-A","FL31-A","FL32-A","FL34-A","FL33-A","FL35-A","FL24-A","FL26-A","FL25-A","FL28-A","FL27-A","FL30-A","FL29-A","FL46-A","FL47-A","FL43-A","FL45-A","FL44-A","FL48-A","FL49-A","FL50-A"
"BYG584",0.00032,0.000271,8.17e-05,2.34e-05,-9.17e-06,-5.49e-05,0.001355,0.022394,0.017967,0.008103,0.002084,7.99e-05,-2.58e-05,3.1e-05,-0.00012,6.36e-05,-4.63e-05,0.002506,0.047865,0.033623,0.012166,0.004479,0.000899,0.000349,2.27e-05,0.004544,0.075174,0.060408,0.020824,0.006177,0.001145,0.888995,1,0.887303,0.517999,0.439628,0.104283,0.108332,0.062237,0.080691,0.011383,0.003039,0.000156,0.000111,1.2e-05,1.91e-05,4.63e-05,4.95e-05,-1.19e-05,-1.58e-05,0.000193
"FITC",0.001697,0.000781,0.000867,0.000973,0.002093,0.029082,0.025111,0.009562,0.004327,0.001187,0.001198,1.28e-05,0.000205,-0.00012,6.17e-06,0.000352,0.017512,0.014578,0.005975,0.00128,0.000194,0.000185,5.41e-05,-7.18e-05,1,0.449039,0.088821,0.051889,0.009937,0.001814,0.000562,2.71e-05,0.000117,-6.41e-05,-6.95e-05,0.000114,0.000157,0.000295,5.27e-05,5.73e-05,-8.57e-05,4.76e-05,-9.45e-06,0.000124,5.01e-05,0.000165,2.6e-05,0.000686,7.5e-05,0.000192,-0.00031
"Pacific Blue",-0.00019,-4.03e-06,0.019241,0.059759,0.054965,0.023947,0.005972,0.001372,0.001585,0.001167,-0.00083,0.000164,0.085238,0.435908,1,0.622021,0.319753,0.070514,0.022896,0.008991,0.002644,0.000861,3.11e-05,-0.00027,-1e-04,-8.49e-05,0.000146,-2.63e-05,2.11e-06,-3.98e-05,7.23e-05,-6.28e-05,9.32e-05,-0.00016,0.000267,-3.48e-05,0.000473,-0.00118,-3.39e-05,0.000272,0.000603,-6.94e-05,-2.75e-05,0.000164,0.000178,5.15e-05,8.97e-05,-0.00028,6.54e-06,-0.00012,-6.81e-05
"PE",0.000509,0.000371,0.000279,0.00029,0.000594,0.00037,0.009968,0.11102,0.049428,0.016107,0.004632,0.000329,-2.24e-05,3.17e-05,-0.00014,2.2e-05,0.000151,0.010139,0.126136,0.047553,0.012059,0.004566,0.000457,0.000432,0.003764,0.0627,0.565456,0.310491,0.076492,0.024107,0.0044,1,0.614139,0.472395,0.316216,0.171139,0.047919,0.049862,0.023955,0.030167,0.003031,0.000742,3.42e-05,6.7e-05,-1.43e-05,4.81e-07,-1.74e-05,0.000111,-8.92e-06,-1.62e-05,-1.18e-05
"PE-CF594",0.000231,-3.2e-05,0.000235,6.02e-05,0.000594,0.000521,0.00095,0.006675,0.116817,0.056549,0.020949,0.001291,-4.39e-05,-4.64e-05,-0.00012,0.00018,0.000423,0.000815,0.007098,0.108447,0.035184,0.01963,0.004389,0.002055,0.001316,0.005967,0.071253,0.77803,0.274322,0.095879,0.028828,0.060874,0.184789,1,0.920003,0.588941,0.230513,0.219116,0.104462,0.168542,0.023526,0.007424,0.000248,0.001196,1.32e-05,8.5e-05,2.36e-05,-0.00044,3.78e-05,1.74e-05,-8.92e-05
"PE-Cy5",0.000156,0.000124,6.39e-05,7.5e-05,0.000197,0.000126,0.000254,0.000698,0.000472,0.109148,0.045868,0.005861,-2.83e-05,-3.02e-05,8.18e-07,-6.31e-06,0.000168,0.000257,0.000919,0.000368,0.057625,0.034381,0.013356,0.007365,0.000687,0.002188,0.005656,0.004604,0.573273,0.220852,0.066137,0.009176,0.005598,0.004611,0.006348,1,0.430435,0.348573,0.218412,0.394524,0.05409,0.018978,0.000729,0.316885,0.078715,0.08372,0.072973,0.03282,-1.85e-05,-8.43e-06,7.88e-06
"PE-Cy5.5",0.000273,7.07e-06,0.000663,-7.87e-05,-0.00158,-0.00371,-0.00086,0.010617,0.004232,0.039056,0.108838,0.015873,0.000419,0.000969,0.00162,0.001514,0.000518,0.001053,0.013208,0.005489,0.010814,0.099233,0.028953,0.021313,0.000847,0.002415,0.015656,0.006979,0.03499,0.107454,0.034896,0.116713,0.073093,0.055473,0.03844,0.149956,0.523197,1,0.536327,0.776222,0.141323,0.047818,0.002593,0.009559,0.067087,0.064216,0.040029,0.025583,0.000152,-4.02e-05,-3.33e-05
"PE-Cy7",0.001226,0.000845,0.000613,0.00078,0.00114,0.001198,0.001001,0.001524,0.000561,2.63e-05,0.00596,0.084787,-9.83e-05,0.000127,4.97e-05,0.000511,0.000482,0.001032,0.001036,2e-04,-2.2e-06,0.000121,0.020102,0.113723,0.002681,0.007674,0.01075,0.006075,0.000986,0.012682,0.584968,0.01631,0.00902,0.007171,0.004427,0.002486,0.000483,0.001106,0.007506,1,0.85751,0.233389,0.017317,7.26e-05,-1.36e-05,0.000106,0.040176,0.114179,0.29472,0.104997,0.027014
"PE-Dazzle 594",-0.00104,-0.00102,-0.00064,-0.00146,-0.0039,-0.00432,-0.00185,0.007402,0.105168,0.048031,0.014473,0.001539,-0.00048,-0.00056,-0.00051,-0.00028,-0.00056,-0.00014,0.008049,0.10606,0.032362,0.013789,0.004058,0.001731,0.00037,0.001487,0.018659,0.131497,0.046617,0.014595,0.003994,0.086068,0.213911,1,0.866287,0.532906,0.195292,0.168546,0.078874,0.125088,0.014751,0.004052,0.000148,0.001029,0.000329,0.000202,0.000224,0.000366,-1.27e-05,1.22e-05,1.87e-05
"PE-Fire 640",-0.00091,-0.00126,-0.00023,-0.00148,-0.00444,-0.00535,-0.00301,0.000495,0.016966,0.092468,0.043773,0.004439,-0.00055,0.000472,0.001255,0.000872,8.5e-05,-0.00042,0.001645,0.01917,0.071368,0.035934,0.012385,0.006131,0.000616,0.001151,0.003339,0.019615,0.086402,0.042005,0.011338,0.023202,0.016746,0.047678,0.224801,1,0.262657,0.30644,0.21395,0.294826,0.050396,0.015823,0.000459,0.141429,0.033142,0.041464,0.026001,0.015223,-5.05e-06,-4.64e-05,4.11e-06
