"fluorophore","UV1 (375)-A","UV2 (390)-A","UV3 (420)-A","UV4 (440)-A","UV5 (460)-A","UV6 (475)-A","UV7 (500)-A","UV8 (515)-A","UV9 (530)-A","UV10 (545)-A","UV11 (575)-A","UV12 (590)-A","UV13 (605)-A","UV14 (625)-A","UV15 (655)-A","UV16 (675)-A","UV17 (700)-A","UV18 (725)-A","UV19 (750)-A","UV20 (780)-A","UV21 (810)-A","UV22 (845)-A","V1 (420)-A","V2 (440)-A","V3 (460)-A","V4 (475)-A","V5 (500)-A","V6 (515)-A","V7 (530)-A","V8 (545)-A","V9 (575)-A","V10 (590)-A","V11 (605)-A","V12 (625)-A","V13 (655)-A","V14 (675)-A","V15 (700)-A","V16 (725)-A","V17 (750)-A","V18 (780)-A","V19 (810)-A","V20 (845)-A","B1 (500)-A","B2 (515)-A","B3 (530)-A","B4 (545)-A","B5 (575)-A","B6 (590)-A","B7 (605)-A","B8 (625)-A","B9 (655)-A","B10 (675)-A","B11 (700)-A","B12 (725)-A","B13 (750)-A","B14 (780)-A","B15 (810)-A","B16 (845)-A","YG1 (575)-A","YG2 (590)-A","YG3 (605)-A","YG4 (625)-A","YG5 (655)-A","YG6 (675)-A","YG7 (700)-A","YG8 (725)-A","YG9 (750)-A","YG10 (780)-A","YG11 (810)-A","YG12 (845)-A","R1 (655)-A","R2 (675)-A","R3 (700)-A","R4 (725)-A","R5 (750)-A","R6 (780)-A","R7 (810)-A","R8 (845)-A"
"Alexa Fluor 488",0.001118,0.001292,0.003866,0.004149,0.002592,0.001402,0.017501,0.045857,0.033616,0.018214,0.009269,0.004718,0.003102,0.001213,0.000939,0.000512,2.13e-05,-3.63e-06,-9.78e-05,0.000102,-5.54e-05,3.41e-05,-0.00014,-0.00105,-0.00156,-0.00099,0.00342,0.011317,0.007932,0.004087,0.002171,0.001022,0.000729,0.000178,4.98e-05,-6.82e-05,-6.73e-05,-3.99e-05,-0.00018,-3e-04,-4.92e-05,7.02e-05,0.37054,1,0.752579,0.51261,0.234254,0.122518,0.079314,0.028111,0.017752,0.009973,0.006811,0.002765,0.001503,0.000711,0.000394,0.000314,0.002164,0.001529,0.001563,0.000874,0.000879,0.000537,0.000477,0.000228,0.000155,-6.75e-05,-1.46e-05,4.25e-05,0.000475,0.000732,0.000363,0.000142,0.000168,0.000246,1.08e-05,-5.12e-05
"Alexa Fluor 647",0.000526,0.000621,0.003468,0.004074,0.003157,0.001486,0.001787,0.001764,0.00112,0.000864,0.000425,0.000445,0.000265,0.000173,0.002374,0.005292,0.003355,0.0013,0.00096,0.000541,0.000166,2.51e-06,0.00033,0.001642,0.002301,0.00153,0.001817,0.00247,0.001706,0.00129,0.001234,0.000855,0.001157,0.000166,0.001444,0.001973,0.001537,0.000714,0.000415,-5.45e-05,-5.79e-05,-0.00019,0.000734,0.00124,0.00123,0.00126,0.00114,0.000957,0.001245,7.08e-05,0.001783,0.00266,0.00159,0.000739,0.000884,0.000201,0.000377,0.000273,0.000113,0.000126,0.000109,0.000224,0.060169,0.099431,0.05985,0.022805,0.016994,0.00665,0.0025,0.001133,0.533489,1,0.581672,0.285297,0.175102,0.0833,0.036,0.0152
"Alexa Fluor 700",0.001351,0.001931,0.007226,0.008971,0.006954,0.003997,0.003972,0.003686,0.002581,0.001959,0.00168,0.001242,0.001148,0.00076,0.00067,0.00276,0.027,0.042441,0.023929,0.013538,0.006228,0.002426,0.000645,0.002247,0.003076,0.002657,0.003373,0.003532,0.002925,0.002204,0.00197,0.001479,0.00144,0.000831,0.000867,0.002555,0.027887,0.04477,0.028582,0.013556,0.006889,0.00275,0.001273,0.002385,0.002765,0.003404,0.003229,0.002669,0.002774,0.001345,0.001579,0.001833,0.008445,0.013404,0.00823,0.00423,0.00225,0.00101,0.001559,0.00162,0.00276,0.001965,0.00264,0.00919,0.097999,0.131,0.0798,0.0399,0.018266,0.00695,0.00339,0.044289,0.602966,1,0.573,0.288,0.147,0.0545
"AmCyan",0.001614,0.003486,0.00276,-0.00355,-0.00542,0.005186,0.016461,0.011675,0.004015,-0.00051,-0.00301,-0.00281,-0.00134,-0.00169,-0.00201,-0.00082,0.000271,-6.97e-06,-5e-04,-7e-04,-0.00026,-0.00057,0.000317,0.004326,0.080859,0.466205,1,0.858727,0.425602,0.277082,0.141818,0.08478,0.053859,0.020861,0.011514,0.006249,0.003078,0.00124,0.000281,-8e-04,-3e-04,0.000431,0.349554,0.305964,0.190917,0.113317,0.04585,0.026491,0.018551,0.005432,0.00352,0.003186,0.000309,0.00089,2.61e-06,0.000297,-0.0014,0.000521,0.002522,0.002835,0.002366,0.003419,0.002269,0.002656,0.003441,-2.02e-05,0.000357,0.001148,0.000215,0.001138,0.004181,0.002596,0.002917,0.002341,0.00194,0.001931,0.000693,0.00116
"APC",0.000748,0.001404,0.005268,0.006871,0.006053,0.003287,0.004068,0.003631,0.003739,0.002896,0.001591,0.001158,0.000843,0.002146,0.050358,0.040698,0.020878,0.012523,0.007196,0.003766,0.001895,0.000923,0.000111,0.001199,0.002266,0.001879,0.00237,0.002994,0.002326,0.000759,0.002434,0.001752,0.001191,0.001465,0.038076,0.028814,0.015263,0.010028,0.007474,0.002737,0.000612,0.000696,0.000648,0.00067,0.000959,0.00125,0.000819,0.001682,0.000873,0.000567,0.007775,0.005428,0.002745,0.001854,0.00092,-8.04e-05,-0.00094,-0.00041,-0.00027,0.000771,0.001835,0.005539,0.2834,0.193543,0.099391,0.060309,0.041054,0.015752,0.007554,0.003357,1,0.81272,0.358166,0.270395,0.155388,0.06787,0.036179,0.016337
"APC-R700",0.000572,0.001041,0.004777,0.006341,0.005286,0.003155,0.003262,0.002997,0.002274,0.001695,0.001392,0.001054,0.000969,0.000592,0.001914,0.005457,0.037365,0.042166,0.020826,0.012177,0.005214,0.002005,0.000703,0.002344,0.003245,0.002659,0.003311,0.003422,0.002696,0.002055,0.00184,0.001464,0.001216,0.000717,0.001599,0.003837,0.026125,0.029343,0.016868,0.008398,0.003761,0.001563,0.000815,0.001469,0.001572,0.00167,0.001522,0.001212,0.001268,0.000597,0.00122,0.002132,0.012403,0.014707,0.007851,0.004104,0.001952,0.000851,0.000332,0.000448,0.000641,0.000574,0.007738,0.024765,0.203226,0.199203,0.108934,0.056148,0.022955,0.008858,0.028449,0.105721,0.818071,1,0.523827,0.270347,0.125234,0.04552
"APC-H7",0.002418,0.004172,0.019288,0.024983,0.02075,0.011911,0.012594,0.011337,0.00883,0.00653,0.005392,0.003944,0.00367,0.002241,0.002804,0.002148,0.001919,0.001379,0.009067,0.042485,0.027504,0.009618,0.002581,0.008978,0.011865,0.009876,0.012395,0.012889,0.009999,0.007693,0.00691,0.005422,0.004819,0.002634,0.003236,0.002405,0.002059,0.001392,0.008728,0.038797,0.026511,0.009966,0.002718,0.004793,0.005306,0.005977,0.005431,0.004704,0.004862,0.00219,0.002912,0.00212,0.002062,0.001205,0.002861,0.00938,0.006248,0.002392,0.001347,0.001608,0.001814,0.001657,0.005222,0.003526,0.003103,0.002872,0.037507,0.172436,0.10397,0.036745,0.014787,0.012283,0.008543,0.013923,0.200438,1,0.695547,0.231244
"APC-Cy7",0.001897,0.003302,0.01479,0.018953,0.015841,0.009066,0.009541,0.00872,0.006689,0.004953,0.004052,0.003036,0.002903,0.001829,0.003366,0.002666,0.002122,0.001835,0.013499,0.045896,0.022081,0.007919,0.001953,0.006762,0.008997,0.007555,0.009429,0.00996,0.007808,0.005977,0.005283,0.004164,0.003788,0.002144,0.00329,0.002511,0.002168,0.001671,0.012923,0.039239,0.020181,0.007591,0.002125,0.003819,0.004255,0.004754,0.004418,0.003815,0.003914,0.001775,0.002702,0.002012,0.001723,0.001097,0.003662,0.009618,0.005088,0.002039,0.001208,0.001324,0.00173,0.00159,0.011227,0.007414,0.005509,0.005523,0.059404,0.18651,0.085249,0.030651,0.03969,0.035609,0.021493,0.029155,0.291633,1,0.544901,0.185749
"APC-Fire 810",0.000285,0.000796,0.002757,0.003802,0.003414,0.002232,0.002042,0.001897,0.001338,0.000692,0.000803,0.000346,0.000322,0.000358,0.003945,0.003672,0.003518,0.001799,0.00184,0.018127,0.0364,0.0167,0.000472,0.000627,0.000784,0.000303,5.33e-05,0.000194,8.87e-05,-5.1e-05,5.3e-05,0.000122,0.000111,-4e-04,0.002982,0.002416,0.002302,0.001402,0.001474,0.0191,0.0425,0.0204,0.000279,0.00034,0.000528,0.000354,0.000542,0.000493,0.000301,0.000364,0.000741,0.000509,0.000286,0.000255,0.000176,0.00277,0.0071,0.0034,0.000155,0.000297,0.000729,0.001554,0.025585,0.018388,0.017172,0.008195,0.010394,0.0685,0.14,0.0661,0.115,0.10023,0.0821,0.05215,0.055214,0.426692,1,0.435372
"BB515",-5.81e-05,-0.00057,-0.00123,-0.00243,-0.00301,-0.00179,0.023893,0.04274,0.026102,0.012997,0.005404,0.002791,0.001604,0.000324,0.000109,-2e-04,-0.00016,-0.00042,-0.00011,-5.18e-06,0.000206,0.000116,-0.00037,-0.00015,-4.79e-05,-0.00046,0.004202,0.008818,0.004288,0.002439,0.000778,0.000359,-0.00014,-0.00063,-0.00064,-0.00061,-0.00028,-3e-04,-0.00052,-0.00032,3.63e-06,-0.00026,0.546,1,0.609555,0.349,0.147173,0.0766,0.054234,0.0179,0.01089,0.00572,0.00392,0.00155,0.000491,0.000328,6e-05,1.46e-05,0.000163,-0.00023,0.000173,-0.00035,6.7e-05,-0.00016,-4.19e-05,-0.00015,-2e-04,-0.00014,-0.00023,-0.00013,3.85e-05,7.48e-05,-0.00048,-0.00018,-6.76e-05,0.000282,0.000212,0.000133
"BB630",0.001645,0.00263,0.008864,0.010402,0.008098,0.004356,0.004256,0.004656,0.00503,0.005176,0.013619,0.055241,0.181374,0.119878,0.07421,0.055217,0.035148,0.015175,0.009056,0.00505,0.00216,0.00102,0.000669,0.002269,0.003046,0.002523,0.003806,0.005727,0.007531,0.009008,0.027118,0.113594,0.346306,0.202312,0.136185,0.098902,0.062544,0.028566,0.020076,0.009693,0.004513,0.00232,0.001997,0.007083,0.013383,0.024066,0.072074,0.266265,1,0.481,0.371,0.252,0.166164,0.0718,0.0465,0.0233,0.0113,0.00589,0.029,0.144,0.565,0.341,0.239,0.15,0.0971,0.0374,0.0244,0.0109,0.00432,0.00201,0.00466,0.00524,0.003457,0.001659,0.00105,0.000554,0.000224,6.44e-05
"BB660",0.000204,0.000151,0.000987,0.001417,0.001187,0.000681,0.001579,0.002281,0.002883,0.002871,0.004426,0.003974,0.004821,0.009149,0.127318,0.100179,0.061866,0.029684,0.014478,0.007636,0.003281,0.001109,0.000321,7.02e-05,0.000338,2.55e-05,0.000238,0.002031,0.00368,0.004617,0.009036,0.009719,0.011569,0.016448,0.218785,0.168505,0.103605,0.052505,0.030347,0.013815,0.005467,0.00245,0.001965,0.005679,0.010557,0.014727,0.023178,0.023932,0.032377,0.036284,0.583613,0.418924,0.264064,0.134195,0.067385,0.0323,0.0156,0.00686,0.000134,6.66e-05,0.000731,0.00521,0.138,0.0931,0.0582,0.0269,0.0153,0.006721,0.00297,0.000843,1,0.901,0.494,0.285,0.136,0.0686,0.0311,0.0122
"BB700",0.000151,0.000237,0.000286,-3.11e-05,-0.00044,-0.00024,-0.00024,0.000553,0.001763,0.002509,0.004824,0.004942,0.005497,0.004445,0.017477,0.108841,0.239998,0.0903,0.054243,0.036892,0.012901,0.005971,4.06e-05,4.12e-06,7.25e-05,0.000119,0.000604,0.002488,0.004561,0.006428,0.012197,0.013046,0.013941,0.009959,0.031791,0.171137,0.364008,0.147662,0.109921,0.060933,0.024568,0.011832,0.001722,0.00637,0.01328,0.019984,0.032978,0.033363,0.041595,0.022413,0.081503,0.420879,0.905458,0.373086,0.24,0.143191,0.058283,0.028109,0.000123,0.000202,0.000283,0.000286,0.012213,0.088101,0.201632,0.0702,0.048672,0.030512,0.010351,0.004605,0.062607,0.489055,1,0.435997,0.276606,0.181743,0.071254,0.03056
"BB755",0.005536,0.008104,0.029958,0.03485,0.027343,0.015032,0.015176,0.015851,0.015378,0.014236,0.018562,0.017443,0.019628,0.013646,0.015164,0.013611,0.020475,0.073427,0.217498,0.160011,0.072337,0.03842,0.00232,0.008069,0.010905,0.008822,0.012612,0.018347,0.021759,0.023957,0.037681,0.040252,0.043249,0.028233,0.035683,0.030671,0.0439,0.141529,0.444772,0.270271,0.132529,0.073923,0.005842,0.020075,0.036426,0.05806,0.087991,0.088389,0.104575,0.057048,0.08427,0.069076,0.093586,0.352595,1,0.628023,0.317774,0.18227,0.005137,0.004079,0.004371,0.003387,0.003431,0.002377,0.005367,0.0241,0.085687,0.057648,0.025279,0.013393,0.001321,0.002284,0.015044,0.121156,0.351757,0.22939,0.114527,0.058359
"BB790",0.000176,0.000335,0.001206,0.001488,0.001263,0.00066,0.004057,0.021729,0.04985,0.064144,0.098996,0.095711,0.104231,0.071194,0.079653,0.067753,0.064925,0.059253,0.325269,0.582069,0.419808,0.175873,0.000147,0.00046,0.000622,0.000622,0.007181,0.041983,0.095721,0.125428,0.174975,0.178955,0.184744,0.137478,0.150788,0.137441,0.128389,0.125523,0.477215,0.704912,0.528855,0.312321,0.020887,0.132478,0.210302,0.284229,0.333665,0.329722,0.355383,0.249346,0.294531,0.256519,0.251348,0.237309,0.644723,1,0.734248,0.444378,0.006224,0.00673,0.008802,0.006247,0.008706,0.00726,0.008111,0.009912,0.102525,0.25312,0.15079,0.05579,0.006811,0.0172,0.0192,0.049,0.313754,0.504225,0.389548,0.191
"BYG584",0.000246,0.000301,0.001135,0.001266,0.000993,0.000492,0.000474,0.00045,0.000348,0.000397,0.007884,0.008115,0.005504,0.002958,0.00236,0.001336,0.000987,0.000406,0.000204,0.000136,3.18e-05,1.74e-05,9.96e-05,0.000299,0.000332,0.000304,0.000361,0.000462,0.000366,0.000614,0.020046,0.021256,0.013614,0.006683,0.005736,0.003203,0.002368,0.001043,0.000609,0.000306,0.000149,8.13e-05,0.000122,0.00017,0.000199,0.001151,0.044611,0.045112,0.03082,0.012234,0.012102,0.006397,0.004722,0.002162,0.001137,0.00058,0.000284,0.000153,0.990735,1,0.721058,0.343385,0.322671,0.142165,0.113512,0.045452,0.026082,0.013047,0.005426,0.002232,0.000172,0.000169,0.000127,2.02e-05,4.42e-05,-5.11e-06,-2.08e-05,6.17e-06
"BUV395",0.155062,0.436144,1,0.719699,0.365622,0.143826,0.067063,0.036168,0.018707,0.008777,0.00401,0.00224,0.001396,0.000848,0.000558,0.000365,2e-04,0.000122,-2.32e-05,-1.73e-05,-1.17e-05,-2.88e-06,0.002069,0.00222,0.001241,0.000691,0.000703,0.000394,0.00035,-2.08e-05,-0.00011,-0.00024,-2e-04,-0.00011,-0.00027,-0.00023,-0.00014,-9.34e-05,-0.00029,-0.00012,-7.95e-05,-3.48e-05,3.78e-05,7.8e-05,-4.98e-05,-3.52e-05,8.59e-05,1e-04,0.000123,-3.05e-05,0.000117,0.000291,9.74e-05,6.86e-05,8.44e-05,9.55e-05,0.000149,6.45e-05,0.000129,0.000618,0.000726,0.000375,0.000652,0.000207,0.000295,0.00019,0.000131,6.72e-05,7.37e-05,0.000125,0.000627,0.000469,0.000238,0.000206,0.000184,-2.39e-05,-6.51e-05,-7.58e-05
"BUV496",0.0257,0.0829,0.286,0.253,0.239,0.426,1,0.805941,0.556791,0.322739,0.175699,0.10772,0.076548,0.03722,0.022613,0.014151,0.010073,0.003844,0.002058,0.001207,0.000383,0.000209,0.000863,0.00245,0.0135,0.050813,0.134577,0.119004,0.073606,0.048166,0.027857,0.018475,0.01284,0.005761,0.003945,0.002359,0.001719,0.000768,0.000451,0.000235,0.000118,5.32e-05,0.036483,0.0336,0.0234,0.015639,0.007728,0.005072,0.003845,0.001446,0.001106,0.000617,0.000435,0.000222,9.44e-06,8.2e-05,-4.06e-05,1.67e-05,0.000188,0.000164,0.000213,0.000157,9.37e-05,3.55e-05,0.000118,5.99e-06,4e-05,5.65e-05,-0.00012,-6.56e-05,2.11e-05,0.000157,0.000135,9.97e-05,8.81e-05,8.12e-05,2.58e-05,-1.59e-05
"BUV563",0.0426,0.105295,0.226598,0.158183,0.076288,0.026805,0.01054,0.006628,0.087814,0.4697,1,0.553122,0.408102,0.234621,0.119211,0.073919,0.052495,0.017417,0.008465,0.00478,0.001817,0.000901,-8.61e-07,-0.0016,-0.00189,-0.00187,-0.00288,-0.00266,-8e-04,0.010717,0.031551,0.018442,0.012653,0.006285,0.002832,0.001128,0.000783,5.34e-05,-0.00019,-0.00034,-0.00032,-0.00057,-0.00085,-0.00057,0.011252,0.087339,0.185455,0.103534,0.084433,0.034991,0.022072,0.013256,0.00884,0.003555,0.001385,0.000594,0.000284,0.000334,0.813296,0.488218,0.372427,0.206838,0.127599,0.067058,0.04835,0.015345,0.008674,0.004187,0.001828,0.000325,-0.00021,-0.00026,-0.00057,-0.00067,-0.00061,-0.00061,-0.00058,-0.00031
"BUV615",0.026705,0.063582,0.138213,0.097947,0.049683,0.020034,0.01046,0.006227,0.003614,0.002307,0.038276,0.237325,0.748129,0.671127,0.446786,0.372396,0.281509,0.093372,0.051569,0.02861,0.010242,0.00453,0.000412,0.000505,0.000411,0.000287,0.000322,0.00035,0.000284,0.000254,0.003517,0.022425,0.087122,0.069085,0.04417,0.036915,0.028419,0.010279,0.007063,0.003375,0.001415,0.000647,8.64e-05,0.000122,0.000152,0.000197,0.002805,0.015174,0.058223,0.034857,0.02709,0.020765,0.016125,0.005997,0.003541,0.001842,0.000777,0.000373,0.040407,0.30132,1,0.837109,0.684025,0.513326,0.395518,0.128179,0.082282,0.041254,0.014455,0.006313,0.02624,0.028451,0.021404,0.009501,0.005452,0.003272,0.001423,0.000605
"BUV661",0.013991,0.045452,0.164045,0.146982,0.086836,0.039154,0.022349,0.013699,0.008274,0.004442,0.002596,0.002672,0.013707,0.065085,0.782978,0.63048,0.454232,0.203669,0.096119,0.050237,0.01959,0.008483,0.001538,0.003243,0.003258,0.002552,0.002756,0.002894,0.001865,0.001392,0.001223,0.001033,0.00159,0.00403,0.057307,0.046808,0.032699,0.015577,0.00877,0.003716,0.001347,0.000549,0.000433,0.000733,0.001167,0.001184,0.0014,0.001188,0.001605,0.001507,0.015969,0.012009,0.008528,0.004171,0.002221,0.00083,0.000397,5.32e-05,0.000711,0.00125,0.008376,0.025651,0.386522,0.267334,0.19337,0.085697,0.047571,0.022004,0.00858,0.003462,1,0.96793,0.625189,0.331169,0.161051,0.081346,0.036149,0.013439
"BUV737",0.027888,0.089151,0.32527,0.272847,0.162785,0.067133,0.035233,0.020759,0.008675,0.009412,0.002862,0.000885,-0.00068,0.002827,0.008002,0.022405,0.255445,0.969827,0.878322,0.42437,0.227941,0.097382,0.002337,0.004055,0.007119,0.002923,0.001293,0.009118,0.004747,0.004256,0.008217,0.004619,0.010314,0.003955,0.001714,0.004155,0.019669,0.077483,0.08641,0.032591,0.015166,0.008939,0.003192,0.007778,0.008985,0.011325,0.006969,0.002466,0.0041,0.007573,0.000883,0.005527,0.045813,0.189009,0.175875,0.078785,0.048755,0.017793,0.004259,0.006473,0.008074,0.011792,0.009092,0.003094,0.024508,0.077584,0.079912,0.034909,0.015622,0.004021,0.005809,0.025906,0.260266,1,0.883425,0.439859,0.26618,0.111544
"BUV805",0.17,0.445263,1,0.714429,0.365215,0.147531,0.075355,0.045743,0.026994,0.015104,0.010928,0.008686,0.007779,0.004681,0.004195,0.00362,0.004257,0.004266,0.041066,0.602,0.701917,0.181069,0.003949,0.004766,0.00293,0.001932,0.001868,0.001978,0.001652,0.000933,0.001334,0.000918,0.000742,0.000403,0.000341,0.000409,0.000354,0.000459,0.001685,0.025447,0.0319,0.008989,0.000495,0.000953,0.000932,0.001343,0.001384,0.001673,0.001334,0.000536,0.000829,0.000685,0.000592,0.000481,0.000749,0.007025,0.0101,0.0029,0.00169,0.002435,0.00309,0.002063,0.0019,0.001174,0.00149,0.001067,0.003302,0.029591,0.035359,0.009474,0.00101,0.00167,0.002673,0.003767,0.0212,0.238268,0.304235,0.077037
"BV421",0.000278,0.00129,0.38809,0.297062,0.208041,0.077406,0.040968,0.025776,0.015068,0.007446,0.003608,0.002098,0.001647,0.000786,0.00041,0.000623,0.000508,0.000269,4.83e-05,0.000202,-3.03e-06,-7.12e-06,1,0.735802,0.503179,0.171481,0.091133,0.062749,0.0276,0.015368,0.009188,0.005533,0.004079,0.001717,0.001446,0.001041,0.000841,0.000164,0.000229,-3.15e-05,-2.7e-05,9.23e-05,0.000796,0.001353,0.001546,0.001326,0.001282,0.001156,0.001038,0.000521,0.000768,0.000536,0.000307,0.000292,0.00018,9.34e-05,-3.45e-05,-3.08e-05,0.000326,6.69e-05,0.000483,0.000345,0.000576,0.000218,0.000265,0.00019,-1e-04,-5.45e-05,-6.9e-05,-4.04e-06,7.58e-05,0.000376,5.62e-05,-0.00011,0.000153,0.000248,7.69e-05,0.000178
"BV480",0.000102,0.000145,0.002066,0.007673,0.143045,0.300321,0.271433,0.252079,0.153679,0.09364,0.056149,0.035112,0.026621,0.01455,0.009146,0.00711,0.005008,0.002272,0.00118,0.000745,0.000338,0.000232,0.000566,0.02307,0.416346,1,0.897528,0.936715,0.508581,0.339174,0.209775,0.136355,0.099692,0.047003,0.031342,0.020591,0.014651,0.006607,0.00465,0.0027,0.00127,0.000639,0.041884,0.045425,0.030474,0.020362,0.012151,0.007984,0.007441,0.002937,0.002396,0.001479,0.001045,0.000312,0.000265,9.88e-05,-2.08e-05,2.47e-05,3.77e-05,-1.29e-05,2.18e-05,-2.43e-05,7.25e-05,5.61e-05,-4.44e-05,-3.04e-05,-4.02e-05,-0.00012,1.15e-05,-3.9e-05,0.00019,4.2e-05,3.34e-05,6.76e-05,-7.76e-05,-5.1e-06,-3.5e-05,3.94e-05
"BV510",0.00465,0.0131,0.06239,0.09607,0.186168,0.240957,0.518168,0.554635,0.500773,0.367771,0.300877,0.220167,0.186022,0.106819,0.082254,0.058241,0.046129,0.019433,0.01109,0.007257,0.002961,0.00127,0.00358,0.047604,0.217526,0.357997,0.82088,1,0.839715,0.665229,0.577057,0.441385,0.352435,0.189857,0.15406,0.109916,0.085389,0.038677,0.026114,0.013996,0.006043,0.003218,0.004093,0.006864,0.007824,0.008366,0.007901,0.00653,0.006633,0.003298,0.003559,0.002768,0.00222,0.001474,0.000907,0.000751,0.000533,0.000384,0.00113,0.00125,0.001797,0.001366,0.001968,0.001583,0.001527,0.000977,0.000857,0.000717,0.000252,0.000142,0.001556,0.001537,0.00167,0.001183,0.001161,0.001205,0.000655,0.000119
"BV570",0.000219,0.000498,0.047634,0.037443,0.026104,0.010567,0.006914,0.005527,0.005542,0.022016,0.26,0.157298,0.128783,0.092494,0.052743,0.037885,0.027585,0.00973,0.005138,0.0029,0.001316,0.000757,0.29,0.208473,0.135246,0.049241,0.024118,0.018411,0.014904,0.0848,1,0.621335,0.511343,0.330451,0.199785,0.14307,0.102693,0.038257,0.024921,0.011939,0.004877,0.00252,0.000527,0.000432,0.001627,0.013613,0.145417,0.086823,0.080786,0.041158,0.029388,0.019017,0.013787,0.005564,0.002765,0.001499,0.000641,0.000448,0.744009,0.482049,0.429966,0.283804,0.191752,0.118569,0.081427,0.028922,0.019175,0.009388,0.003535,0.001525,0.000181,7.45e-05,-8.56e-05,-5.81e-05,-0.00026,0.000339,0.00011,-5.87e-05
"BV605",6.66e-05,0.000165,0.01704,0.013093,0.008654,0.003404,0.001983,0.001313,0.000875,0.000878,0.027993,0.179283,0.339969,0.163601,0.184689,0.130145,0.091947,0.043716,0.023189,0.012953,0.005781,0.002402,0.112831,0.0854,0.054153,0.0195,0.009651,0.006742,0.003439,0.002771,0.09132,0.576463,1,0.443748,0.541663,0.372832,0.259336,0.130091,0.083356,0.039655,0.018828,0.008686,-5.93e-05,5.52e-05,6.78e-05,0.000142,0.008555,0.048441,0.090909,0.033702,0.046222,0.030317,0.021843,0.012333,0.006829,0.003597,0.001711,0.000767,0.051499,0.366,0.750317,0.331021,0.448519,0.267888,0.188786,0.088495,0.055947,0.027986,0.011917,0.005292,0.006823,0.006447,0.003846,0.002436,0.00133,0.000771,0.000495,0.000212
"BV650",7.19e-05,0.000149,0.021937,0.018914,0.013585,0.004806,0.003218,0.001744,0.000882,0.000556,0.000819,0.002904,0.023844,0.094401,0.334459,0.234113,0.189045,0.074932,0.036349,0.020526,0.008551,0.003872,0.119006,0.094903,0.063632,0.023753,0.012031,0.008575,0.004046,0.002586,0.003143,0.011685,0.083185,0.275407,1,0.693051,0.543405,0.228458,0.13283,0.062465,0.025448,0.011961,-5.74e-05,9.89e-05,0.000215,0.000146,0.000272,0.00031,0.001857,0.00422,0.015511,0.01079,0.008392,0.004458,0.002441,0.001287,0.000508,0.000194,0.000423,0.002986,0.029295,0.083803,0.372143,0.226609,0.180631,0.071536,0.043132,0.020838,0.009035,0.00429,0.397789,0.359157,0.250167,0.128556,0.065556,0.035241,0.015367,0.00711
"BV711",-0.00172,-0.00467,0.025431,0.01,0.005929,-0.00194,-0.00436,-0.00618,-0.00598,-0.00499,-0.00393,-0.00332,-0.0015,-0.00094,0.004132,0.046577,0.391934,0.364797,0.169637,0.123752,0.04772,0.019032,0.216,0.165,0.105,0.040422,0.016663,0.010836,0.001822,-6.29e-05,-0.00193,-0.00178,-0.00161,-0.00043,0.010302,0.118521,1,0.929937,0.531973,0.319524,0.138106,0.054287,-0.00344,-0.00522,-0.00604,-0.00495,-0.00269,-0.00204,-0.00243,0.000517,0.000965,0.007107,0.079826,0.078291,0.037635,0.023909,0.011838,0.005069,0.002082,0.001735,0.003959,0.002256,0.00508,0.021286,0.165611,0.135755,0.075303,0.04653,0.018358,0.005735,0.013905,0.10684,0.786368,0.812227,0.388617,0.276032,0.120013,0.04313
"BV750",0.000967,0.001546,0.030374,0.028355,0.021941,0.011601,0.011176,0.01022,0.007735,0.006176,0.005246,0.00366,0.003082,0.00204,0.00105,0.002486,0.00993,0.086931,0.269786,0.160387,0.064661,0.036135,0.124,0.0957,0.0609,0.023353,0.013248,0.012776,0.008584,0.006943,0.007744,0.007152,0.00584,0.00367,0.003252,0.004464,0.032387,0.310401,1,0.484508,0.222864,0.126603,0.002038,0.003004,0.003541,0.003763,0.002688,0.002237,0.001993,0.000853,0.000149,0.000347,0.002008,0.018997,0.059232,0.029878,0.014622,0.008394,4.28e-05,0.00034,0.000209,0.000917,0.000317,-0.00041,0.000702,0.011487,0.039456,0.020576,0.007852,0.003918,0.000655,0.001381,0.011263,0.088429,0.242346,0.139754,0.063358,0.032404
"BV786",0.00252,0.004005,0.044331,0.038569,0.029241,0.012309,0.011038,0.008387,0.005985,0.004511,0.002167,-0.00055,-2.01e-06,0.000259,-0.00136,-0.00167,-6e-04,0.007565,0.114132,0.295398,0.128009,0.041317,0.19715,0.148479,0.090463,0.035742,0.014987,0.012448,0.006064,0.005349,0.001158,0.000968,0.000564,0.001698,-2e-04,0.000546,0.001383,0.034703,0.462412,1,0.470354,0.164449,0.000692,0.001586,0.000417,0.001302,-0.00035,0.000751,0.001117,-0.00072,0.001111,0.001026,0.00093,0.00222,0.014599,0.031085,0.016639,0.007345,-0.00133,-0.00087,-4e-04,0.000595,0.000724,-0.00132,0.000344,0.00118,0.022139,0.053311,0.025126,0.008137,0.002108,0.002321,0.00018,0.008616,0.115647,0.261812,0.131063,0.042907
