"fluorophore","320CH1-A","320CH2-A","320CH3-A","320CH4-A","320CH5-A","320CH6-A","320CH7-A","320CH8-A","320CH9-A","320CH10-A","320CH11-A","320CH12-A","320CH13-A","320CH14-A","320CH15-A","320CH16-A","320CH17-A","320CH18-A","320CH19-A","320CH20-A","320CH21-A","320CH22-A","320CH23-A","320CH24-A","320CH25-A","320CH26-A","320CH27-A","320CH28-A","320CH29-A","320CH30-A","320CH31-A","320CH32-A","320CH33-A","320CH34-A","320CH35-A","355CH1-A","355CH2-A","355CH3-A","355CH4-A","355CH5-A","355CH6-A","355CH7-A","355CH8-A","355CH9-A","355CH10-A","355CH11-A","355CH12-A","355CH13-A","355CH14-A","355CH15-A","355CH16-A","355CH17-A","355CH18-A","355CH19-A","355CH20-A","355CH21-A","355CH22-A","355CH23-A","355CH24-A","355CH25-A","355CH26-A","355CH27-A","355CH28-A","355CH29-A","355CH30-A","355CH31-A","355CH32-A","355CH33-A","355CH34-A","355CH35-A","405CH1-A","405CH2-A","405CH3-A","405CH4-A","405CH5-A","405CH6-A","405CH7-A","405CH8-A","405CH9-A","405CH10-A","405CH11-A","405CH12-A","405CH13-A","405CH14-A","405CH15-A","405CH16-A","405CH17-A","405CH18-A","405CH19-A","405CH20-A","405CH21-A","405CH22-A","405CH23-A","405CH24-A","405CH25-A","405CH26-A","405CH27-A","405CH28-A","405CH29-A","405CH30-A","405CH31-A","405CH32-A","405CH33-A","405CH34-A","405CH35-A","488CH4-A","488CH5-A","488CH6-A","488CH7-A","488CH8-A","488CH9-A","488CH10-A","488CH11-A","488CH12-A","488CH13-A","488CH14-A","488CH15-A","488CH16-A","488CH17-A","488CH18-A","488CH19-A","488CH20-A","488CH21-A","488CH22-A","488CH23-A","488CH24-A","488CH25-A","488CH26-A","488CH27-A","488CH28-A","488CH29-A","488CH30-A","488CH31-A","488CH32-A","488CH33-A","488CH34-A","488CH35-A","561CH10-A","561CH11-A","561CH12-A","561CH13-A","561CH14-A","561CH15-A","561CH16-A","561CH17-A","561CH18-A","561CH19-A","561CH20-A","561CH21-A","561CH22-A","561CH23-A","561CH24-A","561CH25-A","561CH26-A","561CH27-A","561CH28-A","561CH29-A","561CH30-A","561CH31-A","561CH32-A","561CH33-A","561CH34-A","561CH35-A","637CH17-A","637CH18-A","637CH19-A","637CH20-A","637CH21-A","637CH22-A","637CH23-A","637CH24-A","637CH25-A","637CH26-A","637CH27-A","637CH28-A","637CH29-A","637CH30-A","637CH31-A","637CH32-A","637CH33-A","637CH34-A","637CH35-A"
"Pacific Blue",-5e-04,0.003585,0.007337,0.004267,0.003651,0.002447,0.001413,0.000947,0.000164,9.61e-06,3.7e-05,0.000182,7.61e-05,9.01e-05,-2.44e-05,-1.75e-05,0.000225,2.74e-05,-7.26e-05,0.000195,-0.00014,7.58e-05,8.34e-05,0.00011,0.000195,0.000113,1.08e-05,1.65e-05,3.75e-05,-7.59e-06,3.64e-06,-7.6e-07,1.46e-05,7.38e-06,7.42e-06,-0.00054,0.006341,0.013,0.009065,0.009834,0.006841,0.004418,0.002337,0.000407,0.000208,0.000643,0.000387,0.000294,0.00017,4.64e-05,-7.18e-07,6.47e-05,5.44e-05,2.72e-05,2.25e-05,3.53e-07,5.34e-06,3.44e-05,7.48e-05,0.000198,0.000166,9.51e-05,5.81e-05,3.15e-05,-3.58e-07,4.15e-05,9.15e-06,1.55e-05,-2.09e-05,9.92e-08,0.342884,1,0.592022,0.499853,0.413274,0.274711,0.18828,0.10038,0.012823,0.011931,0.023993,0.0169,0.011317,0.009297,0.002825,0.000428,0.002166,0.001736,0.001175,0.00084,0.000636,0.000632,0.001417,0.00493,0.010052,0.009307,0.00645,0.004394,0.002168,0.00073,0.000287,0.000511,0.00037,9.86e-05,2.7e-05,-9.59e-05,1.06e-05,-4.97e-05,-5.02e-05,-6.11e-05,-2.8e-05,-7.89e-06,-0.00013,-9.53e-06,-3.36e-06,-1.95e-05,-2.18e-05,-3.8e-06,-9.07e-06,-2.08e-05,-1.4e-05,1.02e-05,-3.92e-06,-1.68e-05,4.93e-06,-2.5e-06,-3.63e-06,-5.41e-06,7.93e-06,-1.09e-05,-6.94e-06,6.26e-07,-5.45e-07,4.36e-06,-4.01e-06,-3.75e-06,2e-06,0.000273,5.64e-05,2.12e-05,0.000117,3.53e-05,6.32e-06,-1.35e-06,-3.87e-05,-3.35e-05,-5.28e-05,-8.11e-05,-8.77e-05,0.00012,4.06e-05,3.2e-05,1.64e-05,-1.27e-05,-2.37e-06,1.07e-05,6.58e-06,-6.79e-07,-3.8e-06,-8.5e-06,-2.03e-06,2.31e-06,-5.5e-07,-2.06e-05,-1.77e-05,1.66e-05,-1.22e-05,1.29e-06,2.5e-05,2.3e-05,3.58e-05,-2.71e-05,2.63e-05,7.88e-06,-4.62e-06,-3.51e-06,-1.4e-05,-7.23e-05,-3.74e-05,8.94e-05,3.11e-05,-9.43e-06
"PE",-2.91e-05,1.93e-05,-1.7e-05,-1e-04,-7.19e-05,0.000166,0.000262,0.000824,0.000289,0.009845,0.021535,0.01106,0.00701,0.005349,0.001824,0.000209,0.001364,0.001261,0.000834,0.000702,0.000542,0.000359,0.00025,0.000162,8.74e-05,5.47e-05,3.55e-05,2.71e-05,4.94e-06,1.05e-05,2.4e-05,4.06e-05,2.25e-05,1.24e-05,5.27e-06,-0.00011,-2.64e-05,-9.92e-06,2.67e-05,1.57e-05,4.36e-05,0.000193,0.00077,0.000373,0.00871,0.022929,0.012436,0.00721,0.00542,0.00251,0.000299,0.001553,0.001286,0.000995,0.000771,0.000529,0.000399,0.000281,0.000174,0.000119,0.000104,7.23e-05,8e-05,5.36e-05,8.42e-05,0.000208,0.000319,0.000272,0.000152,8.65e-05,-7.46e-05,-4.23e-05,4.65e-05,0.000441,6.5e-05,0.000199,0.001317,0.004105,0.001537,0.046331,0.0849,0.046,0.030316,0.031123,0.011123,0.001501,0.007377,0.005966,0.004183,0.00318,0.00242,0.00173,0.001164,0.000798,0.000541,0.000387,0.000245,0.000276,0.000255,0.000373,0.001019,0.002032,0.001473,0.000828,0.000474,0.001247,0.000703,0.000772,0.002892,0.011079,0.005056,0.117478,0.289523,0.162339,0.094139,0.080473,0.033893,0.003057,0.017421,0.015066,0.011351,0.009128,0.006834,0.004737,0.003038,0.002144,0.00161,0.001193,0.001021,0.000908,0.000822,0.001065,0.001958,0.003311,0.00257,0.00162,0.000995,0.887434,1,0.492844,0.290956,0.239375,0.103262,0.010969,0.048598,0.050597,0.034086,0.026698,0.021467,0.014879,0.010569,0.00669,0.005196,0.004086,0.003491,0.002971,0.002585,0.002462,0.0041,0.005744,0.0046,0.002614,0.001927,2.36e-05,2.65e-06,2.96e-05,3.65e-06,-2.52e-06,1.34e-05,-5.05e-06,3.25e-06,-8.25e-07,-5.21e-06,2.13e-06,1.58e-06,-2.28e-06,2.58e-06,3.38e-05,-3.69e-05,1.97e-06,2.24e-05,4.65e-06
"PE-Cy5",-0.00037,-0.00014,-6.23e-05,0.000254,0.000148,0.000149,-3.85e-05,9.18e-05,3.44e-05,0.000221,0.000482,0.000321,0.000331,0.000215,0.000137,0.000795,0.009986,0.022243,0.023,0.018511,0.011651,0.007934,0.006753,0.005622,0.004294,0.002817,0.001865,0.001185,0.000546,9.52e-05,6.25e-05,2.33e-05,1.72e-05,4.35e-06,6.45e-06,-0.00024,-5.54e-05,-3.18e-05,-1.45e-05,5.93e-06,-2.15e-05,6.62e-06,5.99e-05,3.68e-06,0.00015,0.000421,0.000243,0.000157,0.000136,9.17e-05,0.000492,0.006533,0.014282,0.018239,0.013782,0.007748,0.005441,0.004258,0.004005,0.003419,0.00265,0.001759,0.001315,0.000924,0.000683,0.000544,0.000432,3e-04,2e-04,0.000111,-0.00025,-0.00026,-4.98e-05,-7.36e-05,-8.01e-05,0.000196,4.66e-05,0.000279,7.48e-05,0.001293,0.002408,0.001443,0.001072,0.001409,0.000733,0.004193,0.044368,0.091148,0.097148,0.067994,0.044028,0.030424,0.025317,0.022088,0.017581,0.013157,0.008638,0.006054,0.004443,0.003287,0.002476,0.002076,0.001462,0.00097,0.000448,0.000643,0.000405,0.00034,0.000613,0.001423,0.000549,0.00503,0.012433,0.007535,0.004861,0.005,0.003,0.00919,0.122819,0.282854,0.338208,0.263432,0.159173,0.103793,0.080282,0.072879,0.063672,0.049054,0.034172,0.023963,0.017268,0.011748,0.009672,0.007448,0.006335,0.004608,0.003181,0.041393,0.045854,0.021913,0.01414,0.01428,0.009004,0.033857,0.361005,0.911061,1,0.771732,0.509714,0.336989,0.286993,0.237801,0.211874,0.159527,0.111399,0.078845,0.057666,0.040696,0.031444,0.024662,0.019572,0.01354,0.01038,0.091976,0.145132,0.170965,0.115933,0.071146,0.04507,0.038899,0.034805,0.031653,0.023577,0.017206,0.011518,0.008088,0.006236,0.005162,0.00426,0.003248,0.002292,0.001778
"PE-Cy7",-0.00049,2.92e-05,3.37e-05,0.000137,2.22e-06,-3.16e-05,0.000133,0.000219,9.2e-05,0.000274,0.000797,0.000359,0.000382,0.000265,0.00014,1.33e-05,1.59e-05,7.53e-05,4.37e-05,0.000193,0.000129,3.03e-05,0.000167,0.000439,0.001531,0.004481,0.010027,0.01635,0.020968,0.015878,0.010533,0.006361,0.003471,0.001025,0.00027,-0.00026,-7.32e-05,-1.3e-05,2.87e-05,1.58e-05,-1.01e-05,7.59e-05,0.000146,4.24e-05,0.000195,0.000499,0.000331,0.000218,0.000141,6.47e-05,2e-06,3.45e-05,4.65e-05,6.2e-05,3.82e-05,3.65e-05,5.23e-05,0.000124,0.000401,0.001393,0.004136,0.008724,0.015882,0.019099,0.01935,0.014684,0.010517,0.005865,0.004041,0.002506,-0.00031,-0.00032,-0.00014,0.00049,-0.00013,-0.00013,0.000416,0.000674,0.00021,0.001491,0.00296,0.001779,0.001203,0.001208,0.000405,6.1e-05,0.000345,0.000331,0.000217,0.000262,0.000293,0.000362,0.000871,0.002657,0.008416,0.022963,0.045959,0.074073,0.088538,0.081028,0.059068,0.040897,0.025592,0.016025,0.009535,0.001937,0.001415,0.001145,0.001791,0.004091,0.001253,0.006743,0.017312,0.010644,0.00675,0.005636,0.002237,0.000167,0.001228,0.001222,0.001101,0.00104,0.001003,0.001279,0.002699,0.008368,0.027586,0.076317,0.164755,0.272393,0.340039,0.280889,0.224002,0.142601,0.097899,0.066028,0.047024,0.049873,0.057069,0.028046,0.017574,0.016708,0.005856,0.000457,0.003022,0.003444,0.002697,0.002469,0.002617,0.003349,0.008705,0.025776,0.086912,0.232132,0.493125,0.809417,1,0.877795,0.647518,0.428968,0.283667,0.179767,0.140069,8.52e-05,8.62e-05,0.000134,9.54e-05,0.000101,0.00013,0.000274,0.00083,0.002993,0.008156,0.018331,0.029859,0.037029,0.035558,0.028192,0.019337,0.011912,0.007711,0.006407
"PE-CF594",0.000202,6.48e-05,-3.84e-07,1.18e-05,6.7e-05,9.28e-06,-3.08e-05,-4.07e-05,-1.75e-05,9.98e-05,0.000458,0.001271,0.002677,0.003155,0.001169,6.38e-05,0.000582,0.000894,0.00076,0.000706,0.000561,0.000355,0.000171,8.96e-05,7.49e-05,5.15e-05,2.16e-05,3.81e-05,-4.96e-05,-3.73e-05,-6.14e-05,-5.88e-05,-1.09e-05,-5.23e-05,-2.3e-05,0.000162,0.000106,7.05e-05,5.49e-05,2.12e-05,0.000125,9.92e-05,9.59e-05,1.36e-05,0.000744,0.002699,0.007563,0.0163,0.017947,0.007233,0.000766,0.005075,0.005246,0.005456,0.004775,0.003112,0.002234,0.001481,0.001188,0.000887,0.000619,0.000539,0.000526,0.000397,0.000231,0.000253,0.000189,0.00017,0.000257,0.000339,3.46e-05,0.000198,0.000194,0.000937,0.001139,0.000456,0.000734,0.000816,0.000232,0.003324,0.010024,0.027163,0.063862,0.095714,0.037344,0.003274,0.020563,0.024961,0.023018,0.019465,0.014297,0.009501,0.006175,0.004291,0.003271,0.003044,0.002098,0.001696,0.001399,0.001135,0.000804,0.000849,0.000606,0.001559,0.000999,0.001114,0.000745,0.000758,0.001095,0.002282,0.001134,0.012001,0.049848,0.127887,0.288252,0.389802,0.197779,0.012288,0.069612,0.09818,0.098505,0.094341,0.06917,0.041553,0.025726,0.01804,0.014031,0.011942,0.009562,0.007364,0.006377,0.004333,0.00322,0.00271,0.002737,0.003263,0.00295,0.101537,0.179014,0.432671,0.854096,1,0.332039,0.038121,0.205072,0.239718,0.21208,0.183927,0.138291,0.092912,0.064814,0.04552,0.037298,0.030223,0.025318,0.020841,0.015429,0.010558,0.007687,0.006848,0.006818,0.00844,0.0106,0.000352,0.000488,0.000479,0.000484,0.000337,0.000194,0.000169,0.000103,7.4e-05,6.56e-05,3.26e-05,1.2e-05,2.21e-05,1.09e-05,7.71e-06,-9.32e-06,2.07e-05,-1.78e-06,3.27e-05
"PE-Dazzle 594",1.29e-05,1.24e-05,-4.88e-05,4.04e-05,8.91e-05,0.00019,-3.17e-06,0.000294,7.53e-05,0.001219,0.004698,0.012289,0.02445,0.025716,0.008211,0.000917,0.005655,0.006408,0.005058,0.004366,0.003111,0.001871,0.001296,0.00085,0.000629,0.000504,0.00033,0.000195,1.76e-05,5.81e-06,8.02e-06,2.03e-05,2.1e-05,2.26e-05,3.51e-05,-0.00023,-6.61e-05,-2.01e-05,3.22e-05,-1.92e-05,9.11e-05,0.00012,4.16e-05,4.84e-05,0.000813,0.00351,0.009145,0.020182,0.022199,0.009904,0.001001,0.005524,0.005572,0.00543,0.004376,0.002861,0.00195,0.001315,0.000979,0.000755,0.000636,0.000467,0.000358,0.000244,0.000191,0.000155,0.000131,0.000166,0.000235,0.00031,-0.00023,-0.00017,-0.00014,0.000441,8.74e-05,0.000137,0.000675,0.000908,0.00031,0.004616,0.014932,0.038979,0.082013,0.112771,0.037193,0.004444,0.023439,0.023146,0.019762,0.015501,0.011154,0.007069,0.004913,0.003553,0.00263,0.002053,0.001588,0.001137,0.000832,0.000602,0.000438,0.000566,0.00079,0.001167,0.001725,0.001319,0.000809,0.000821,0.00149,0.003041,0.001124,0.016727,0.061163,0.14708,0.296365,0.36673,0.144863,0.011991,0.071734,0.074093,0.068803,0.058239,0.040041,0.026172,0.017259,0.012655,0.010401,0.008583,0.006624,0.005053,0.003695,0.002484,0.001989,0.001808,0.002194,0.002987,0.00367,0.136048,0.225913,0.429395,0.850901,1,0.412057,0.038982,0.184791,0.224339,0.188586,0.153891,0.112485,0.072858,0.054683,0.037045,0.031282,0.02522,0.020051,0.01508,0.010858,0.007654,0.009944,0.004656,0.004921,0.00547,0.007253,0.000384,0.000424,0.000436,0.00031,0.000195,0.00014,0.000122,6.96e-05,7.37e-05,3.79e-05,4.28e-05,2.88e-05,1.41e-05,5.3e-06,3.7e-05,2.49e-05,-1.02e-05,1.88e-05,-4.06e-06
"PE-Fire 640",-4e-04,-0.00014,-9.95e-05,0.000322,-0.00019,0.000311,3.57e-06,5.83e-05,2.24e-05,0.000293,0.000828,0.000555,0.001668,0.005451,0.004077,0.003226,0.021724,0.020177,0.012945,0.010824,0.009044,0.007992,0.006929,0.005334,0.00326,0.002123,0.001545,0.000899,0.000463,9.83e-05,7.31e-05,3.32e-05,2.77e-05,1.45e-06,1.28e-05,-0.00033,-9.29e-05,-2.21e-05,-4.56e-05,-5.32e-06,1.31e-05,1e-04,0.000134,4.18e-05,0.000219,0.000687,0.000508,0.001024,0.003728,0.00403,0.002671,0.019024,0.017191,0.012989,0.009647,0.007121,0.006766,0.005788,0.004935,0.003619,0.002658,0.00183,0.001454,0.001079,0.000965,0.000728,0.000634,0.000376,0.000267,0.000182,-0.00034,-3e-04,1.79e-05,0.000266,5.63e-05,0.000147,0.000527,0.000628,0.000178,0.002058,0.003856,0.003243,0.00755,0.037866,0.027863,0.02261,0.130866,0.112428,0.075089,0.054263,0.046863,0.041589,0.036904,0.027971,0.019649,0.013891,0.009775,0.007449,0.005908,0.004732,0.003849,0.003088,0.002216,0.001395,0.00103,0.002127,0.001491,0.001187,0.001785,0.00372,0.001287,0.009193,0.023048,0.016142,0.024703,0.092042,0.086874,0.041085,0.319073,0.299746,0.214304,0.163889,0.131981,0.11385,0.096187,0.078731,0.059166,0.042786,0.031181,0.023755,0.019142,0.01407,0.01192,0.009259,0.007544,0.00548,0.004224,0.072325,0.081923,0.047481,0.079808,0.291497,0.271708,0.153355,0.915782,1,0.657348,0.491979,0.423113,0.367344,0.341004,0.255141,0.198058,0.140138,0.101096,0.077921,0.066384,0.047968,0.03852,0.029924,0.023178,0.015745,0.012913,0.091193,0.096815,0.072861,0.048497,0.039649,0.034501,0.032928,0.026583,0.020629,0.014327,0.010934,0.008036,0.006398,0.005252,0.004378,0.003707,0.002756,0.001871,0.001354
"PE-Fire 700",-0.00155,-0.00015,-0.00036,0.001131,-0.00049,-0.00029,0.000413,-0.00015,-5.19e-05,0.00043,0.000804,0.000433,0.000231,0.000395,-5.8e-06,1.37e-07,9.58e-05,0.001083,0.005081,0.015999,0.026583,0.025997,0.020275,0.013501,0.00806,0.006578,0.005259,0.003729,0.002066,0.000514,0.000178,0.000129,5.29e-05,4.98e-05,1.12e-05,-0.00067,-0.00017,-5.04e-05,-0.00026,0.000185,-0.00011,-7.64e-06,-1.33e-05,-2.05e-05,0.000145,0.000498,0.000327,0.000211,0.000218,6.14e-05,-1.12e-05,0.000178,0.000787,0.003708,0.011396,0.01848,0.020875,0.015826,0.010885,0.007361,0.00571,0.004622,0.004771,0.004026,0.003435,0.002175,0.001851,0.001013,0.000652,0.000457,-0.00071,-6e-04,-0.00065,0.000378,-0.00084,-5.2e-05,0.000404,0.000696,1e-04,0.00175,0.003206,0.001697,0.001512,0.001571,0.000731,0.00015,0.001485,0.00635,0.022746,0.061928,0.106485,0.107397,0.084176,0.056025,0.038519,0.029413,0.024898,0.022599,0.018205,0.014716,0.010794,0.007944,0.00538,0.00297,0.001403,0.000901,0.000525,0.000421,0.000757,0.001847,0.000666,0.007602,0.019346,0.011616,0.006701,0.005908,0.002854,0.000555,0.003958,0.014571,0.061881,0.187401,0.322086,0.329131,0.242654,0.166424,0.117827,0.093185,0.081399,0.074698,0.065855,0.046476,0.035486,0.024797,0.018711,0.012777,0.008926,0.058474,0.069785,0.032579,0.019946,0.016829,0.007169,0.00116,0.010891,0.046593,0.191198,0.525242,0.95209,1,0.812951,0.522559,0.38401,0.301018,0.257571,0.238645,0.204884,0.153698,0.110441,0.078543,0.05903,0.038724,0.030212,0.001541,0.00484,0.020093,0.055164,0.099576,0.104184,0.084707,0.054658,0.038355,0.029683,0.027442,0.024549,0.021263,0.01689,0.01328,0.009768,0.006514,0.00471,0.003706
"PE-Fire 810",-0.00122,-0.00026,0.000151,0.000152,0.000377,0.000379,9.3e-05,0.000938,0.000229,0.005576,0.012221,0.006457,0.004648,0.003286,0.000984,0.00013,0.00074,0.000772,0.000703,0.001099,0.001437,0.001103,0.000893,0.000546,0.000398,0.000296,0.000791,0.001717,0.004372,0.008295,0.011793,0.012903,0.010245,0.003524,0.000646,-0.00066,-0.00015,-1.51e-05,0.00013,-1.1e-05,9.86e-05,0.000225,0.000514,0.000206,0.003405,0.009071,0.005103,0.003099,0.002296,0.001024,9.9e-05,0.000693,0.000617,0.000614,8e-04,0.001032,0.000976,0.00068,0.000542,0.000377,0.000441,0.000772,0.001922,0.004245,0.008529,0.013036,0.0162,0.012811,0.009624,0.005309,-0.00066,-0.00058,-6.33e-05,0.000537,7.93e-05,0.000522,0.001099,0.003943,0.001194,0.026562,0.050051,0.027784,0.018542,0.019761,0.006442,0.000841,0.004818,0.004155,0.004186,0.005102,0.00619,0.005612,0.004142,0.002941,0.002382,0.002866,0.005312,0.012449,0.027599,0.050916,0.070477,0.082526,0.069643,0.047457,0.025319,0.004643,0.003272,0.002678,0.005429,0.015657,0.006102,0.104128,0.259624,0.147788,0.088326,0.075435,0.031371,0.00279,0.017038,0.015684,0.014806,0.019498,0.023053,0.020256,0.014552,0.010409,0.008739,0.009928,0.01777,0.039644,0.090271,0.150914,0.228905,0.250978,0.236618,0.174006,0.109224,0.881262,1,0.469723,0.283273,0.233225,0.099232,0.010414,0.049365,0.053835,0.046477,0.057787,0.072824,0.06517,0.051467,0.03439,0.029743,0.0329,0.057452,0.13056,0.290003,0.49843,0.705014,0.788909,0.712392,0.490306,0.345827,0.000238,0.000564,0.00141,0.002614,0.003292,0.002909,0.002168,0.001483,0.001078,0.001087,0.001415,0.002695,0.005479,0.009989,0.015511,0.018432,0.015847,0.011095,0.007831
"PerCP",-0.0041,0.000149,0.000727,0.002706,0.002055,0.003152,0.002982,0.001055,-0.00052,0.000364,-0.00121,-0.00027,-0.00026,-0.00156,0.000282,0.000601,0.013547,0.163319,0.609452,0.486513,0.15756,0.083797,0.077597,0.085862,0.087859,0.062468,0.035438,0.017347,0.004982,0.001087,0.000517,0.000537,0.000301,0.000139,3.81e-05,-0.00326,-0.00098,-0.00025,-0.00059,0.000341,-7.29e-05,-2.27e-05,-1e-04,0.000165,-0.00022,-0.00039,1.03e-05,0.000116,0.000159,4.24e-05,0.00015,0.002758,0.028791,0.151518,0.131836,0.039912,0.020577,0.017193,0.021476,0.023927,0.019366,0.01234,0.006169,0.003393,0.002121,0.00214,0.001566,0.001298,0.000973,0.000652,-0.00247,-0.00347,-0.00076,-0.00306,-0.00285,-0.00151,0.000925,-0.00223,0.000799,-0.00017,0.000221,0.000996,0.000328,0.002241,0.000833,0.001586,0.025667,0.275383,1,0.680578,0.230163,0.12214,0.115023,0.131394,0.138725,0.110301,0.064789,0.032405,0.018013,0.011485,0.00918,0.009191,0.006983,0.003517,0.001073,-6.7e-05,-3e-04,-0.00035,-5.7e-05,-0.00025,0.000103,0.000463,0.000951,0.001426,8.79e-05,0.000666,0.00045,0.000269,0.004252,0.038325,0.183686,0.155855,0.05014,0.024222,0.035239,0.024667,0.029282,0.022896,0.015111,0.006821,0.003786,0.00181,0.001999,0.001725,0.001379,0.00075,0.00082,0.000853,0.000109,-0.00083,9.22e-05,0.000964,0.000823,0.000473,0.011816,0.155999,0.655609,0.550181,0.18148,0.089744,0.084562,0.092396,0.109551,0.086262,0.053444,0.027202,0.014697,0.007968,0.004845,0.00297,0.001245,0.000514,0.000409,0.006858,0.036127,0.173429,0.134871,0.043712,0.020225,0.018948,0.022273,0.027321,0.021226,0.01409,0.006136,0.002941,0.002036,0.002822,0.002795,0.002616,0.00115,0.000819
"PerCP-Cy5.5",-0.00556,-0.00032,-0.00034,0.001351,-0.00038,-0.00069,6.75e-05,-0.00114,-2.01e-05,-0.00071,-0.00052,-0.00086,-0.00113,0.000786,0.000479,0.000388,0.012049,0.10504,0.397652,0.448411,0.355476,0.301137,0.230239,0.167934,0.128683,0.091393,0.077203,0.057978,0.045659,0.023088,0.011716,0.002786,0.00107,0.000376,0.00027,-0.00303,-0.00083,-3e-04,8.09e-05,-0.00038,1.54e-05,-0.00019,9.65e-05,4.78e-05,3.3e-05,0.000285,0.000191,-0.00021,0.000111,2.35e-05,0.000121,0.002492,0.020008,0.103222,0.124606,0.093052,0.085302,0.062606,0.048254,0.039335,0.031946,0.024535,0.021431,0.016273,0.012981,0.009151,0.006867,0.004586,0.002979,0.001853,-0.00244,-0.00228,-0.00155,-0.00137,-0.00231,0.000796,-0.00081,0.002178,-1e-04,-0.00026,0.000237,0.001015,0.001642,0.002069,0.002165,0.002621,0.029176,0.231657,0.883293,1,0.994668,0.869233,0.661979,0.471715,0.358094,0.285639,0.226197,0.186835,0.149568,0.112747,0.081942,0.064275,0.044132,0.030265,0.017007,-0.00059,-0.00037,-0.00029,-0.00039,-0.00017,-6.97e-05,-5.95e-05,0.001,-5.17e-05,0.000647,0.000585,0.000656,0.000461,0.005881,0.044762,0.21082,0.310698,0.337255,0.306899,0.227415,0.167322,0.129538,0.104539,0.086313,0.07235,0.060186,0.041733,0.032144,0.022817,0.017811,0.012434,0.008816,0.001871,0.000851,0.000778,0.000108,0.000343,0.000323,0.000443,0.012515,0.124609,0.528699,0.65673,0.617019,0.530933,0.419037,0.28541,0.236826,0.187737,0.152017,0.12317,0.099999,0.072096,0.050413,0.036138,0.026045,0.017141,0.01301,0.008875,0.037722,0.171353,0.230769,0.258095,0.237641,0.190021,0.127776,0.098587,0.078881,0.069532,0.059829,0.048803,0.037428,0.029168,0.021894,0.015841,0.009881,0.008208
"PerCP-eFluor 710",-0.00122,0.000118,1.46e-05,0.000281,0.000568,0.000353,8.36e-05,0.000335,2.6e-05,-2.87e-05,0.000243,0.000257,0.000363,0.000262,0.000113,0.000114,0.00181,0.015668,0.060992,0.091401,0.147394,0.220548,0.232681,0.169389,0.107466,0.065202,0.052561,0.044108,0.041848,0.029233,0.022231,0.015271,0.008217,0.001319,0.000522,-0.00076,-0.00019,-3.65e-05,-9.65e-05,5.2e-05,0.000149,1.42e-05,-2.63e-06,-2.36e-05,2.98e-05,5.76e-05,4e-05,5.96e-05,3.33e-05,7.71e-06,2.78e-05,0.000414,0.003083,0.015969,0.024147,0.035968,0.059448,0.063417,0.052298,0.034827,0.023464,0.016958,0.015466,0.013621,0.013024,0.010607,0.008478,0.00533,0.003494,0.002137,-6e-04,-0.00059,-4.7e-05,0.000773,-1.52e-05,0.000673,0.000181,4.35e-05,-0.00011,0.000125,0.000142,0.000546,0.000754,0.001522,0.001482,0.001422,0.007935,0.049512,0.192371,0.314174,0.62968,0.948918,1,0.740791,0.47095,0.317641,0.232238,0.200829,0.183637,0.16187,0.12818,0.100245,0.068208,0.043778,0.025248,5.47e-05,-8.87e-05,4.23e-05,-1.03e-05,8.98e-05,-5.35e-05,6.78e-05,0.00017,0.000174,0.00034,0.000553,0.00062,0.000558,0.002347,0.013647,0.06667,0.134875,0.279539,0.442354,0.464397,0.373358,0.251738,0.169471,0.126585,0.10909,0.102023,0.080928,0.068312,0.04988,0.037525,0.025882,0.017428,0.000683,0.000185,0.000224,0.000233,0.000381,0.000299,0.000161,0.002726,0.023997,0.101952,0.169794,0.321594,0.489873,0.549633,0.400547,0.278646,0.18462,0.13671,0.118952,0.111356,0.090906,0.07229,0.052898,0.037658,0.024172,0.017909,0.002124,0.007157,0.033149,0.06619,0.149642,0.240176,0.282058,0.218002,0.149541,0.096269,0.075609,0.063959,0.059438,0.05448,0.046685,0.036163,0.02456,0.015896,0.012382
