marker,aliases
2B4,
4-1BB,
A2aR,
ABCA1,
ABCB1,
ACE,
ACKR1,
ACTB,
ADAM8,
ADAM17,
ADGRE1,
AHR,
ALDH1A1,
ALDH1A2,
ANXA1,
Arg1,
B220,
BAFF,
BAFF-R,
Bcl-2,
Bcl-6,
BCR,
BLIMP-1,
BTLA,
CCR1,
CCR2,
CCR3,
CCR4,
CCR5,
CCR6,
CCR7,
CCR8,
CCR9,
CCR10,
CD1,
CD1a,
CD1b,
CD1c,
CD1d,
CD1e,
CD2,
CD3,
CD4,
CD5,
CD6,
CD7,
CD8,
CD8a,
CD8b,
CD9,
CD10,
CD11a,
CD11b,
CD11c,
CD12,
CD13,
CD14,
CD15,
CD16,
CD18,
CD19,
CD20,
CD21,
CD22,
CD23,
CD24,
CD25,
CD26,
CD27,
CD28,
CD29,
CD30,
CD31,
CD32,
CD33,
CD34,
CD35,
CD36,
CD37,
CD38,
CD39,
CD40,
CD40L,
CD41,
CD42a,
CD42b,
CD43,
CD44,
CD45,
CD45RA,
CD45RB,
CD45RC,
CD45RO,
CD46,
CD47,
CD48,
CD49a,
CD49b,
CD49c,
CD49d,
CD49e,
CD49f,
CD50,
CD51,
CD52,
CD53,
CD54,
CD55,
CD56,
CD57,
CD58,
CD59,
CD61,
CD62E,
CD62L,
CD62P,
CD63,
CD64,
CD65,
CD66a,
CD66b,
CD66c,
CD66d,
CD66e,
CD66f,
CD68,
CD69,
CD70,
CD71,
CD72,
CD73,
CD74,
CD75,
CD80,
CD81,
CD82,
CD83,
CD84,
CD85j,
CD86,
CD88,
CD89,
CD90,
CD91,
CD93,
CD94,
CD95,
CD96,
CD97,
CD98,
CD99,
CD100,
CD101,
CD102,
CD103,
CD104,
CD105,
CD106,
CD107a,
CD107b,
CD108,
CD109,
CD110,
CD111,
CD112,
CD113,
CD114,
CD115,
CD116,
CD117,
CD118,
CD119,
CD120a,
CD120b,
CD121a,
CD121b,
CD122,
CD123,
CD124,
CD125,
CD126,
CD127,
CD128a,
CD128b,
CD129,
CD130,
CD131,
CD132,
CD133,
CD134,
CD135,
CD137,
CD138,
CD140a,
CD140b,
CD141,
CD142,
CD143,
CD144,
CD146,
CD147,
CD150,
CD152,
CD154,
CD155,
CD158,
CD159a,
CD159c,
CD161,
CD162,
CD163,
CD164,
CD166,
CD169,
CD172a,
CD172b,
CD172g,
CD177,
CD178,
CD179a,
CD179b,
CD180,
CD181,
CD182,
CD183,
CD184,
CD185,
CD186,
CD191,
CD192,
CD193,
CD194,
CD195,
CD196,
CD197,
CD200,
CD201,
CD202b,
CD203c,
CD204,
CD205,
CD206,
CD207,
CD209,
CD210,
CD212,
CD213a1,
CD213a2,
CD215,
CD217,
CD218a,
CD218b,
CD220,
CD221,
CD223,
CD224,
CD226,
CD227,
CD229,
CD230,
CD235a,
CD235b,
CD244,
CD247,
CD253,
CD254,
CD258,
CD267,
CD268,
CD269,
CD270,
CD272,
CD273,
CD274,
CD275,
CD276,
CD278,
CD279,
CD294,
CD300a,
CD300e,
CD301,
CD303,
CD304,
CD305,
CD307,
CD309,
CD314,
CD319,
CD326,
CD335,
CD336,
CD337,
CD357,
CD360,
CD366,
CD371,
CDCP1,
CEACAM1,
CEACAM5,
CEACAM6,
c-Kit,
c-Maf,
CRTH2,
CTLA-4,
CX3CR1,
CXCR1,
CXCR2,
CXCR3,
CXCR4,
CXCR5,
CXCR6,
Dectin-1,
E-Cadherin,
EGFR,
ENTPD1,
EpCAM,
Eomes,
F4/80,
Fas,
FasL,
FcERI,
Fcgr3,
FoxP3,
GATA3,
GITR,
GL7,
GM-CSF,
gp130,
Granzyme A,
Granzyme B,
Granzyme K,
H2-Kb,
H2-Db,
HLA-A,
HLA-B,
HLA-C,
HLA-DP,
HLA-DQ,
HLA-DR,
ICOS,
IFN-g,
IgA,
IgD,
IgE,
IgG,
IgG1,
IgG2a,
IgG2b,
IgG3,
IgM,
IL-1b,
IL-2,
IL-4,
IL-5,
IL-6,
IL-7R,
IL-9,
IL-10,
IL-12,
IL-13,
IL-17A,
IL-17F,
IL-18R,
IL-21,
IL-22,
IL-23R,
IL-33R,
IRF4,
Ki-67,
KLRG1,
LAG-3,
LAMP1,
LAMP2,
LFA-1,
Ly6C,
Ly6G,
MAdCAM-1,
MHC-I,
MHC-II,
MPO,
NK1.1,
NKp30,
NKp44,
NKp46,
NKG2A,
NKG2C,
NKG2D,
Notch1,
OX40,
PD-1,
PD-L1,
PD-L2,
PD1,
PDL1,
PDL2,
Perforin,
RORgt,
Siglec-8,
Siglec-F,
SIRPa,
ST2,
STREP,
T-bet,
TCF-1,
TCR,
TCRab,
TCRgd,
TIGIT,
TIM-3,
TNF-a,
TRAIL,
VCAM-1,
VEGFR2,
VISTA,
XCR1,
ZAP70,
kappa,
lambda,
